layer,feature
0,2
0,1243
0,1261
0,1331
0,1676
0,1731
0,2261
0,2462
0,2760
0,2944
0,3283
0,4262
0,4409
0,5086
0,5122
0,5610
0,5613
0,5652
0,6493
0,6551
0,6737
0,7706
0,7766
0,8274
0,8339
0,8563
0,8725
0,8800
0,8837
0,8952
0,9120
0,9289
0,9387
0,9686
0,9791
0,10034
0,10296
0,11058
0,11082
0,11172
0,11509
0,11527
0,11724
0,11951
0,12094
0,12237
0,12321
0,12864
0,13121
0,13942
0,14446
0,14553
0,14681
0,15130
0,15346
0,15421
0,16186
0,16380
1,570
1,938
1,1055
1,1184
1,1340
1,1645
1,1812
1,1937
1,2001
1,3233
1,3395
1,3440
1,3807
1,4216
1,4470
1,5071
1,5875
1,5909
1,5941
1,6739
1,7115
1,10736
1,10987
1,11277
1,11501
1,11982
1,12434
1,12712
1,12837
1,13478
1,13576
1,14182
1,14703
1,14909
1,14920
1,15066
2,135
2,321
2,385
2,437
2,518
2,1011
2,1050
2,1218
2,1235
2,1322
2,2210
2,2404
2,2659
2,3005
2,3104
2,3229
2,3417
2,3922
2,3967
2,4091
2,4109
2,4440
2,4807
2,4865
2,5606
2,5991
2,6142
2,6224
2,7016
2,7227
2,7315
2,7723
2,8047
2,8106
2,8295
2,8395
2,9215
2,9486
2,9526
2,9765
2,9957
2,10412
2,10982
2,10990
2,11297
2,11422
2,11440
2,11675
2,12073
2,12205
2,12980
2,13264
2,13370
2,13475
2,13705
2,14340
2,14519
2,14722
2,15129
2,15881
2,15951
2,16364
3,51
3,227
3,252
3,643
3,1290
3,1309
3,1403
3,1730
3,1731
3,1917
3,2184
3,2275
3,2469
3,2546
3,2616
3,2702
3,3175
3,3410
3,3528
3,3529
3,3730
3,4155
3,4530
3,4925
3,5393
3,5859
3,6137
3,6275
3,6288
3,6996
3,7018
3,7085
3,7369
3,7431
3,7640
3,7801
3,8734
3,8829
3,9371
3,9980
3,10556
3,10760
3,10804
3,10905
3,10926
3,10933
3,10995
3,11261
3,11641
3,11944
3,12602
3,12903
3,13286
3,13501
3,13535
3,13752
3,13835
3,14242
3,14303
3,15072
3,15143
3,15159
3,15265
3,15273
3,15286
3,15600
3,16005
3,16138
3,16215
4,64
4,416
4,628
4,646
4,1127
4,1154
4,1328
4,1622
4,1813
4,1817
4,2034
4,2044
4,2046
4,2309
4,2332
4,2442
4,2463
4,2714
4,2717
4,2773
4,2959
4,3044
4,3078
4,3139
4,3144
4,3317
4,3333
4,3393
4,3683
4,4131
4,4512
4,4521
4,4544
4,4620
4,4624
4,4631
4,4742
4,4752
4,4934
4,4943
4,5100
4,5447
4,5493
4,5514
4,5518
4,5899
4,5943
4,5988
4,6001
4,6025
4,6164
4,6230
4,6449
4,6756
4,6892
4,6900
4,6958
4,7100
4,7265
4,7386
4,7461
4,7483
4,7486
4,7676
4,7720
4,7862
4,8029
4,8036
4,8058
4,8111
4,8157
4,8164
4,8187
4,8291
4,8324
4,8353
4,8427
4,8517
4,8524
4,8591
4,8641
4,8794
4,8906
4,9016
4,9018
4,9055
4,9120
4,9140
4,9221
4,9455
4,9467
4,9506
4,9508
4,9510
4,9517
4,9844
4,10197
4,10213
4,10244
4,10608
4,10667
4,10690
4,10710
4,10799
4,10807
4,10946
4,10956
4,10964
4,10986
4,11185
4,11197
4,11360
4,11435
4,11442
4,11469
4,11633
4,11684
4,11908
4,11951
4,11998
4,12281
4,12446
4,12486
4,12546
4,12772
4,12782
4,12816
4,12855
4,13007
4,13084
4,13087
4,13187
4,13204
4,13237
4,13355
