layer,feature
17,10277
10,8267
12,10640
12,6558
7,15798
22,1708
8,393
15,9578
19,6922
7,10770
6,4579
16,2825
19,3997
11,357
5,792
16,10507
8,4388
10,2562
15,9105
17,1179
7,7816
13,2864
9,8956
8,10799
20,8503
6,4556
11,15718
12,13264
16,1710
12,10234
21,3652
21,3127
19,2031
8,13868
22,10675
20,13360
15,12493
19,9046
10,9164
10,427
20,2792
10,12574
13,13548
19,15455
12,6556
13,11044
24,7473
11,2341
21,14128
19,8754
24,2722
21,13150
16,5320
9,13942
22,13823
14,3193
8,11721
18,7856
11,1012
13,14371
20,1738
9,16320
17,10855
10,5097
1,14182
23,2107
12,11534
19,9483
6,14009
22,2531
5,814
12,7974
10,10286
13,13579
23,1361
11,10117
11,3508
23,7644
17,3672
22,9110
13,1787
19,4446
11,2656
18,128
16,2936
18,10644
8,2026
10,14861
12,1470
11,432
7,9255
6,6605
4,10213
14,6423
20,15748
20,13759
9,9294
20,6034
16,15044
9,12767
9,13233
8,12288
5,14788
12,5309
20,9276
17,13488
20,5953
7,14035
23,11820
5,2254
9,10677
10,1956
24,13871
12,14525
21,11310
22,8194
19,5853
11,10259
6,14853
12,9670
25,13003
17,8346
8,4274
19,210
4,14333
9,2147
9,9322
12,12641
3,1403
24,6277
20,13694
6,12147
15,12471
10,11612
14,11344
15,15657
7,11598
22,5987
22,10097
15,1628
10,14994
6,5427
20,5835
22,4003
14,3982
15,5009
16,7475
8,10126
10,13469
24,4106
22,2376
17,15736
17,3711
21,4415
11,10614
0,11172
9,7669
16,5098
14,12363
22,12802
13,2523
2,7227
18,12867
16,3857
14,13087
20,13417
17,11783
20,10687
20,4051
19,14060
21,10757
16,13929
8,15243
12,118
17,10150
8,11449
9,11146
8,6713
21,988
15,1570
5,886
17,6817
19,12309
20,14647
14,8926
8,5873
10,9850
7,13076
12,8589
15,8432
12,5729
9,15391
24,7
15,16330
13,13208
14,3698
8,14558
15,16296
19,1103
19,7593
11,11119
23,11467
12,4799
15,1788
25,9865
9,8029
23,2146
10,12240
20,8768
22,3947
22,9395
22,3969
19,15063
20,856
23,12393
22,5664
18,2708
23,15394
18,4644
15,5180
17,10267
14,3641
21,13174
9,7704
10,15987
17,1962
10,6570
5,6348
13,6512
11,8902
7,317
21,8610
16,4218
21,2398
12,5311
10,9740
12,1440
7,15197
21,1484
21,13369
6,2546
24,1244
20,11926
12,8157
10,6144
17,10398
4,10964
24,11739
19,10430
25,5144
16,10223
15,5944
20,5200
16,1959
19,10631
21,2224
16,7153
9,3854
25,2678
15,6593
19,10113
10,2397
11,11516
8,923
23,12780
19,1993
10,10195
18,7655
12,8323
21,5426
8,14489
9,8499
16,2391
7,4149
9,5115
7,7210
10,15021
15,10360
25,12746
10,349
22,3120
7,2343
23,11308
9,7238
0,15421
11,11
8,10978
18,3292
12,3574
8,4914
9,11290
17,2986
6,403
10,8943
14,1264
16,14014
12,13915
12,15830
15,5541
8,8039
16,12160
24,3945
18,10948
10,9007
22,174
11,688
21,6757
25,4217
6,4940
20,248
19,14693
17,9339
24,6607
23,6410
8,4200
11,15148
19,15442
11,13396
23,7557
22,15262
5,15809
18,8721
9,15686
18,10239
19,4011
10,15499
8,16297
23,12059
9,16252
12,968
14,10547
17,8851
21,2572
13,10887
4,3144
17,15998
17,4643
11,14793
14,9577
18,11104
4,16026
6,5859
16,6678
16,4597
15,6519
15,3530
20,12681
8,14324
12,12491
18,10146
13,2478
7,2476
9,9973
5,3599
13,14833
5,12883
10,1403
19,11065
20,9936
21,12397
8,10937
12,6659
11,7006
22,14525
22,14097
13,13949
15,1572
17,7022
23,2414
24,12149
15,2348
17,7080
4,8353
5,9045
7,10503
8,3509
8,10364
15,3951
10,5963
15,9745
17,11981
20,3206
18,14628
20,7678
7,11876
20,8996
14,11030
14,12405
14,2005
14,14015
5,12367
6,10670
11,6054
11,16379
23,10264
18,3167
13,11513
15,6117
9,7785
15,11068
20,7185
14,14359
4,10244
17,2033
11,14105
17,11227
21,4440
25,6844
18,532
21,10080
16,15075
8,258
8,8789
10,6035
4,5493
18,12937
14,767
10,11052
9,4291
14,10401
7,15240
9,11423
20,8323
13,1290
23,15944
9,10679
19,1939
18,9219
14,1339
8,11840
19,10483
15,5043
17,15567
12,6059
6,13050
9,2005
21,13072
24,11992
14,14360
14,7564
25,2119
23,12572
7,4742
10,3858
10,9663
15,14838
16,1160
11,3454
19,15311
18,15902
17,5829
11,7946
8,15549
22,9756
21,10555
21,10143
14,2007
5,12615
22,6558
16,4946
18,14689
8,16218
10,8976
18,12579
11,12875
15,9462
23,163
11,3232
20,10612
21,7244
18,15010
5,1109
11,6419
15,6745
2,7016
16,15249
17,2576
9,4679
21,8307
16,12430
7,4346
24,15361
9,3582
14,6930
7,7995
18,8457
14,7651
10,12985
15,1491
10,14385
19,10020
24,2823
11,5203
6,14310
22,6089
20,15524
22,14377
16,581
20,695
8,2441
6,4318
19,10219
14,669
10,7770
22,7454
19,4736
9,12934
14,13
17,10313
8,15556
5,9989
4,15406
20,386
12,8560
21,12848
6,9155
19,10089
15,5443
11,5455
13,12919
16,6876
23,10137
21,1112
16,14954
23,10995
17,11860
17,6599
16,10073
25,14458
14,14322
9,9228
2,9526
6,10251
9,10791
7,15570
9,3045
20,5182
22,10863
8,4029
18,7849
9,2414
24,3515
15,12992
12,11749
15,14187
8,104
5,5475
23,7364
16,11616
15,1557
4,4544
21,9577
23,9800
24,3684
19,14093
15,11044
11,4531
10,7919
7,13123
25,9263
15,422
21,16201
9,2618
13,11508
20,2733
13,4910
12,1577
20,5785
14,6939
13,1139
8,2775
19,8866
21,1941
20,242
19,12249
9,5331
13,9735
24,10541
10,6779
13,9460
9,1500
24,6195
10,14537
16,7547
15,13360
17,1291
14,610
7,15043
22,5711
19,1032
16,1569
17,10293
1,1055
20,4981
9,12722
17,9290
7,10713
19,11104
16,9144
21,5436
16,14460
10,3698
16,13265
9,5294
21,896
11,3913
9,3583
23,12993
18,5024
23,4932
16,3587
14,12953
18,8038
8,9335
13,15098
24,3767
10,11367
8,2263
21,10848
16,2929
14,6208
8,11527
12,11371
5,10757
9,16151
7,15545
23,6068
21,9728
14,10028
21,8374
24,3314
16,6304
13,1334
10,383
15,6991
11,1574
22,12050
17,937
18,12020
14,10617
14,11192
12,9281
21,5450
6,3350
14,11356
7,3593
19,9257
24,5260
18,172
9,12394
10,1157
13,15369
6,1322
14,4089
19,11723
10,2208
18,6827
25,11404
8,5140
19,15744
18,8701
17,15247
10,8670
13,4067
21,5758
16,2449
23,11936
13,14141
18,14781
12,8179
23,6583
17,4632
12,13866
20,4895
16,10029
4,13958
21,4748
10,11395
24,1277
8,14062
18,14985
19,11275
5,1873
20,4387
22,8477
22,15816
18,9222
20,15432
16,2949
14,16038
13,12006
14,618
12,10966
23,10573
10,3388
17,6768
9,7044
21,5467
10,15381
10,2157
23,5818
16,7374
5,7359
10,15410
20,6886
14,2246
25,2751
21,4230
10,5780
19,12644
14,6224
11,8248
10,1589
19,3583
10,1864
20,6158
11,388
25,8089
10,6563
16,8104
15,12663
3,7018
11,1369
13,9766
23,13725
9,16367
4,3139
8,11883
17,9622
25,5203
13,16000
13,9927
8,6061
25,2245
22,14669
13,14185
18,15099
18,3042
15,13412
8,6649
7,1348
15,3923
8,3752
19,870
22,7579
12,16179
18,1879
9,1356
16,3554
18,5925
8,1906
21,4611
17,13627
8,5811
11,7908
6,5198
11,8935
12,2228
7,4872
2,321
15,12277
23,4848
7,16177
17,535
11,301
21,7903
10,16153
20,5136
14,10421
14,11049
15,10919
17,9013
20,13534
23,7301
10,3655
21,8975
22,2907
16,4020
16,1511
21,13118
14,6265
23,11574
24,12538
18,4326
8,10308
25,196
10,14702
15,13815
22,10978
14,1177
8,8927
20,6139
19,14105
18,6109
20,1791
6,11103
20,6132
14,11621
16,5659
16,12414
25,7080
20,12538
24,9900
25,11812
20,7828
25,2597
0,8800
22,7460
12,14531
17,8737
21,5880
18,242
6,3766
20,14590
19,10478
12,3448
3,10556
15,12130
19,14383
14,13657
10,3113
22,9625
19,14331
24,2968
13,10167
14,16326
12,2557
14,14287
13,15252
15,12954
11,3086
14,2323
19,14969
10,2115
24,9344
9,6998
10,12174
10,44
7,12522
9,10643
8,7311
12,5467
12,10826
17,1173
22,10363
25,5510
17,9498
7,11712
13,10966
17,8637
20,3228
19,6144
7,3623
23,16244
25,11847
12,14972
13,9705
19,16365
12,14465
22,5032
15,9890
6,3102
19,14869
17,4439
12,9857
11,10483
21,6347
23,598
8,13337
17,15252
14,12975
19,6405
10,13352
17,1830
11,10686
5,7103
10,4740
7,8972
10,12225
11,14138
20,15386
20,3483
21,12007
11,2087
25,10581
15,7849
15,8577
17,4524
13,5759
9,11048
11,11055
20,14988
18,6588
19,12422
16,15812
14,16202
11,370
14,12985
19,12352
12,10488
12,1811
18,240
17,8962
12,10795
14,11449
13,9092
21,2267
22,11069
18,12752
23,14653
9,1705
10,1671
10,11397
15,3864
12,8716
25,2449
9,15651
21,2257
23,12349
25,11909
17,4867
7,4998
10,15448
14,2898
20,15913
14,3876
8,7559
5,6432
17,14464
19,10727
14,946
24,13651
9,10652
22,6603
8,12783
3,15273
6,13781
15,3871
25,12171
22,10366
12,5621
9,8225
7,12288
18,13120
11,13320
8,13250
7,10051
20,14739
19,2208
12,16330
12,3920
14,12904
8,10464
14,264
19,8805
12,9079
8,12191
17,5947
15,12488
17,226
15,2672
21,1647
10,14585
13,12789
23,15871
9,15652
18,7735
12,15482
18,1697
16,12103
17,2763
9,7989
12,6752
19,3560
22,2404
19,14790
12,10996
9,4233
19,13572
10,1051
24,3255
20,8560
15,557
25,7942
4,10667
21,13467
25,5228
18,6672
17,7337
25,11249
17,11082
12,4335
20,10314
13,11791
19,10411
19,180
16,6998
21,7540
19,12220
23,7118
