layer,feature,odds_ratio,freq_diff,baseline_acc,ablated_acc,delta_acc,baseline_mean_p,ablated_mean_p,delta_mean_p,n_samples
0,289,1000000000.0,0.0141,0.638,0.626,-0.01200000000000001,0.565162109375,0.5648896484375,-0.00027246093749999645,500
14,8000,1000000000.0,0.98546,0.638,0.636,-0.0020000000000000018,0.565162109375,0.56452880859375,-0.0006333007812500124,500
18,2830,1000000000.0,0.0105199999999999,0.638,0.604,-0.03400000000000003,0.565162109375,0.55975,-0.005412109375000029,500
14,8297,1000000000.0,0.0053199999999999,0.638,0.622,-0.016000000000000014,0.565162109375,0.5644453125,-0.0007167968750000364,500
4,4485,1000000000.0,0.75846,0.638,0.628,-0.010000000000000009,0.565162109375,0.564171875,-0.0009902343750000098,500
15,7567,1000000000.0,0.0050599999999999,0.638,0.626,-0.01200000000000001,0.565162109375,0.5644765625,-0.0006855468749999982,500
18,2779,1000000000.0,0.91536,0.638,0.626,-0.01200000000000001,0.565162109375,0.5661650390625,0.0010029296875000426,500
2,15492,1000000000.0,0.0325999999999999,0.638,0.638,0.0,0.565162109375,0.5653232421875,0.00016113281249996447,500
15,6944,1000000000.0,0.0073999999999999,0.638,0.624,-0.014000000000000012,0.565162109375,0.5640927734375,-0.0010693359375000266,500
14,8895,1000000000.0,0.0087599999999999,0.638,0.626,-0.01200000000000001,0.565162109375,0.565416015625,0.0002539062499999911,500
14,8954,1000000000.0,0.9616,0.638,0.628,-0.010000000000000009,0.565162109375,0.564197265625,-0.000964843749999944,500
15,6875,1000000000.0,0.0089599999999999,0.638,0.628,-0.010000000000000009,0.565162109375,0.564119140625,-0.001042968749999984,500
20,14525,1000000000.0,0.0096399999999999,0.638,0.632,-0.006000000000000005,0.565162109375,0.5667568359375,0.0015947265625000373,500
14,9166,1000000000.0,0.00902,0.638,0.64,0.0020000000000000018,0.565162109375,0.564728515625,-0.0004335937499999609,500
17,11308,1000000000.0,0.0061999999999999,0.638,0.622,-0.016000000000000014,0.565162109375,0.5624384765625,-0.0027236328124999876,500
10,14728,1000000000.0,0.9122,0.638,0.63,-0.008000000000000007,0.565162109375,0.566697265625,0.0015351562500000027,500
0,12692,1000000000.0,0.0476999999999999,0.638,0.632,-0.006000000000000005,0.565162109375,0.564767578125,-0.00039453124999999645,500
0,12705,1000000000.0,0.19698,0.638,0.636,-0.0020000000000000018,0.565162109375,0.5645859375,-0.0005761718750000311,500
4,2044,1000000000.0,0.3939,0.638,0.644,0.006000000000000005,0.565162109375,0.566849609375,0.001687499999999953,500
9,2291,1000000000.0,0.0099399999999999,0.638,0.626,-0.01200000000000001,0.565162109375,0.5633857421875,-0.001776367187499961,500
17,11540,1000000000.0,0.0071999999999999,0.638,0.632,-0.006000000000000005,0.565162109375,0.564564453125,-0.0005976562499999671,500
15,5287,1000000000.0,0.95612,0.638,0.626,-0.01200000000000001,0.565162109375,0.5668544921875,0.0016923828124999485,500
4,1498,1000000000.0,0.02592,0.638,0.632,-0.006000000000000005,0.565162109375,0.5642001953125,-0.0009619140625000133,500
15,8066,1000000000.0,0.05942,0.638,0.638,0.0,0.565162109375,0.55989453125,-0.005267578125000005,500
14,7910,1000000000.0,0.01022,0.638,0.628,-0.010000000000000009,0.565162109375,0.56447314453125,-0.0006889648437500284,500
21,575,1000000000.0,0.0107,0.638,0.624,-0.014000000000000012,0.565162109375,0.5633623046875,-0.0017998046874999618,500
11,1863,1000000000.0,0.0077,0.638,0.628,-0.010000000000000009,0.565162109375,0.5645439453125,-0.0006181640625000373,500
8,3355,1000000000.0,0.9302,0.638,0.63,-0.008000000000000007,0.565162109375,0.5649423828125,-0.0002197265625000222,500
11,8494,1000000000.0,0.0095399999999999,0.638,0.638,0.0,0.565162109375,0.563947265625,-0.0012148437500000275,500
11,8206,1000000000.0,0.96214,0.638,0.62,-0.018000000000000016,0.565162109375,0.5629990234375,-0.002163085937500031,500
11,7746,1000000000.0,0.00912,0.638,0.634,-0.0040000000000000036,0.565162109375,0.5672841796875,0.0021220703125000018,500
8,4873,1000000000.0,0.8973,0.638,0.628,-0.010000000000000009,0.565162109375,0.565748046875,0.0005859375000000222,500
8,5663,1000000000.0,0.42732,0.638,0.626,-0.01200000000000001,0.565162109375,0.5623408203125,-0.0028212890625000098,500
15,12556,1000000000.0,0.00858,0.638,0.632,-0.006000000000000005,0.565162109375,0.56527734375,0.00011523437500005063,500
15,12589,1000000000.0,0.0093199999999999,0.638,0.636,-0.0020000000000000018,0.565162109375,0.5659453125,0.0007832031250000204,500
0,6066,1000000000.0,0.4528,0.638,0.626,-0.01200000000000001,0.565162109375,0.564130859375,-0.001031250000000039,500
20,8645,1000000000.0,0.90454,0.638,0.618,-0.020000000000000018,0.565162109375,0.5633583984375,-0.0018037109374999805,500
8,7338,1000000000.0,0.0057199999999999,0.638,0.622,-0.016000000000000014,0.565162109375,0.5642890625,-0.0008730468750000053,500
14,6514,1000000000.0,0.0067199999999999,0.638,0.614,-0.02400000000000002,0.565162109375,0.5652099609375,4.7851562499978684e-05,500
22,11617,1000000000.0,0.9261,0.638,0.634,-0.0040000000000000036,0.565162109375,0.5643974609375,-0.0007646484375000151,500
15,10840,1000000000.0,0.0056199999999999,0.638,0.63,-0.008000000000000007,0.565162109375,0.5650546875,-0.00010742187500001332,500
