layer,feature,c_vqa,n_vqa,c_vsr,n_vsr,freq_vqa,freq_vsr,freq_diff,odds_ratio,p_raw,p_adj
0,289,49295,50000,7529,7529,0.9859,1.0,0.014100000000000001,1000000000.0,5.875495830864222e-44,6.577146202803556e-43
6,3612,36320,50000,7529,7529,0.7264,1.0,0.27359999999999995,1000000000.0,0.0,0.0
13,10032,49523,50000,7529,7529,0.99046,1.0,0.009539999999999993,1000000000.0,6.499119567650289e-30,5.996882878971409e-29
13,11031,3507,50000,7529,7529,0.07014,1.0,0.92986,1000000000.0,0.0,0.0
6,2180,49645,50000,7529,7529,0.9929,1.0,0.007099999999999995,1000000000.0,2.0080934719699335e-22,1.6225946804067606e-21
16,15762,49712,50000,7529,7529,0.99424,1.0,0.005759999999999987,1000000000.0,2.56334518088082e-18,1.8966581559305482e-17
6,1829,13219,50000,7529,7529,0.26438,1.0,0.7356199999999999,1000000000.0,0.0,0.0
13,7747,49572,50000,7529,7529,0.99144,1.0,0.008560000000000012,1000000000.0,6.655339260399863e-27,5.85153362126352e-26
18,11203,341,50000,7529,7529,0.00682,1.0,0.99318,1000000000.0,0.0,0.0
6,1295,8774,50000,7529,7529,0.17548,1.0,0.82452,1000000000.0,0.0,0.0
25,9261,4541,50000,7529,7529,0.09082,1.0,0.90918,1000000000.0,0.0,0.0
18,14861,49363,50000,7529,7529,0.98726,1.0,0.012739999999999974,1000000000.0,9.20186089439608e-40,9.784203657335745e-39
13,11349,39407,50000,7529,7529,0.78814,1.0,0.21186000000000005,1000000000.0,0.0,0.0
17,1531,2925,50000,7529,7529,0.0585,1.0,0.9415,1000000000.0,0.0,0.0
0,981,47169,50000,7529,7529,0.94338,1.0,0.056620000000000004,1000000000.0,6.660995027336826e-178,1.9107591284343775e-176
1,6666,23908,50000,7529,7529,0.47816,1.0,0.5218400000000001,1000000000.0,0.0,0.0
13,4653,2221,50000,7529,7529,0.04442,1.0,0.95558,1000000000.0,0.0,0.0
16,14942,2861,50000,7529,7529,0.05722,1.0,0.94278,1000000000.0,0.0,0.0
1,7201,34462,50000,7529,7529,0.68924,1.0,0.31076000000000004,1000000000.0,0.0,0.0
13,3202,49492,50000,7529,7529,0.98984,1.0,0.010159999999999947,1000000000.0,8.071131226487318e-32,7.689769328317357e-31
13,3244,125,50000,7529,7529,0.0025,1.0,0.9975,1000000000.0,0.0,0.0
16,13457,6119,50000,7529,7529,0.12238,1.0,0.87762,1000000000.0,0.0,0.0
16,14138,49656,50000,7529,7529,0.99312,1.0,0.006879999999999997,1000000000.0,9.489898981447178e-22,7.563793600480475e-21
16,13636,49689,50000,7529,7529,0.99378,1.0,0.006220000000000003,1000000000.0,9.996750079131124e-20,7.635198453954518e-19
19,695,49514,50000,7529,7529,0.99028,1.0,0.009719999999999951,1000000000.0,1.8181826419876365e-30,1.6932287931539095e-29
16,13375,49666,50000,7529,7529,0.99332,1.0,0.006680000000000019,1000000000.0,3.8931594873170884e-21,3.064062172831931e-20
13,1410,7304,50000,7529,7529,0.14608,1.0,0.85392,1000000000.0,0.0,0.0
13,12212,20685,50000,7529,7529,0.4137,1.0,0.5863,1000000000.0,0.0,0.0
16,12800,49668,50000,7529,7529,0.99336,1.0,0.006639999999999979,1000000000.0,5.1629331587734614e-21,4.0512211146237734e-20
5,12051,5469,50000,7529,7529,0.10938,1.0,0.89062,1000000000.0,0.0,0.0
16,12143,10743,50000,7529,7529,0.21486,1.0,0.78514,1000000000.0,0.0,0.0
12,16109,1228,50000,7529,7529,0.02456,1.0,0.97544,1000000000.0,0.0,0.0
18,9891,49534,50000,7529,7529,0.99068,1.0,0.009319999999999995,1000000000.0,3.08234584235099e-29,2.8153048120844017e-28
16,11340,4301,50000,7529,7529,0.08602,1.0,0.91398,1000000000.0,0.0,0.0
12,15424,2086,50000,7529,7529,0.04172,1.0,0.95828,1000000000.0,0.0,0.0
17,3152,49600,50000,7529,7529,0.992,1.0,0.008000000000000007,1000000000.0,3.4842155671659175e-25,2.967000854056218e-24
23,9622,49708,50000,7529,7529,0.99416,1.0,0.005839999999999956,1000000000.0,1.458197307739559e-18,1.0849919161938275e-17
16,10902,49707,50000,7529,7529,0.99414,1.0,0.005859999999999976,1000000000.0,1.2663848869283522e-18,9.435072402289199e-18
13,13597,49605,50000,7529,7529,0.9921,1.0,0.007900000000000018,1000000000.0,7.062564662504538e-25,5.979171145323317e-24
19,4195,49558,50000,7529,7529,0.99116,1.0,0.008839999999999959,1000000000.0,9.191010016934895e-28,8.194958161114355e-27
12,14420,49445,50000,7529,7529,0.9889,1.0,0.011099999999999999,1000000000.0,1.0355936826256446e-34,1.0287447863896334e-33
12,13952,10258,50000,7529,7529,0.20516,1.0,0.79484,1000000000.0,0.0,0.0
6,13708,49629,50000,7529,7529,0.99258,1.0,0.007419999999999982,1000000000.0,2.0964121218658843e-23,1.7264112691790072e-22
12,13476,4345,50000,7529,7529,0.0869,1.0,0.9131,1000000000.0,0.0,0.0
13,13949,6298,50000,7529,7529,0.12596,1.0,0.87404,1000000000.0,0.0,0.0
12,13137,3684,50000,7529,7529,0.07368,1.0,0.92632,1000000000.0,0.0,0.0
24,1092,2312,50000,7529,7529,0.04624,1.0,0.9537599999999999,1000000000.0,0.0,0.0
6,14332,49674,50000,7529,7529,0.99348,1.0,0.00651999999999997,1000000000.0,1.2040701836524236e-20,9.37875318826444e-20
16,8642,49715,50000,7529,7529,0.9943,1.0,0.005700000000000038,1000000000.0,3.913254805483407e-18,2.883805786798795e-17
12,12463,49710,50000,7529,7529,0.9942,1.0,0.005800000000000027,1000000000.0,1.933365615613803e-18,1.4346633076710278e-17
12,12338,2914,50000,7529,7529,0.05828,1.0,0.94172,1000000000.0,0.0,0.0
12,12168,961,50000,7529,7529,0.01922,1.0,0.98078,1000000000.0,0.0,0.0
17,4324,49733,50000,7529,7529,0.99466,1.0,0.005340000000000011,1000000000.0,4.951163046129932e-17,3.5510594320008975e-16
12,11355,1192,50000,7529,7529,0.02384,1.0,0.97616,1000000000.0,0.0,0.0
1,13237,23160,50000,7529,7529,0.4632,1.0,0.5367999999999999,1000000000.0,0.0,0.0
19,7095,49472,50000,7529,7529,0.98944,1.0,0.010560000000000014,1000000000.0,4.7502635729827444e-33,4.610577315212198e-32
17,4524,2999,50000,7529,7529,0.05998,1.0,0.94002,1000000000.0,0.0,0.0
19,7283,5348,50000,7529,7529,0.10696,1.0,0.8930400000000001,1000000000.0,0.0,0.0
12,10729,132,50000,7529,7529,0.00264,1.0,0.99736,1000000000.0,0.0,0.0
19,7872,49619,50000,7529,7529,0.99238,1.0,0.00761999999999996,1000000000.0,5.105165068805905e-24,4.254727049224688e-23
25,9581,8368,50000,7529,7529,0.16736,1.0,0.83264,1000000000.0,0.0,0.0
23,6567,5950,50000,7529,7529,0.119,1.0,0.881,1000000000.0,0.0,0.0
7,2398,49711,50000,7529,7529,0.99422,1.0,0.005780000000000007,1000000000.0,2.226184302020361e-18,1.6498528048710686e-17
19,8398,2044,50000,7529,7529,0.04088,1.0,0.95912,1000000000.0,0.0,0.0
12,9624,781,50000,7529,7529,0.01562,1.0,0.98438,1000000000.0,0.0,0.0
16,6310,921,50000,7529,7529,0.01842,1.0,0.98158,1000000000.0,0.0,0.0
16,6358,2505,50000,7529,7529,0.0501,1.0,0.9499,1000000000.0,0.0,0.0
12,8592,49639,50000,7529,7529,0.99278,1.0,0.007220000000000004,1000000000.0,8.606533618639321e-23,7.004940228901472e-22
19,10343,49706,50000,7529,7529,0.99412,1.0,0.005879999999999996,1000000000.0,1.0998007123933828e-18,8.20529111281123e-18
12,7779,49654,50000,7529,7529,0.99308,1.0,0.006920000000000037,1000000000.0,7.155494492528273e-22,5.719240029092547e-21
12,7613,49568,50000,7529,7529,0.99136,1.0,0.008639999999999981,1000000000.0,3.78036884629054e-27,3.338260038595003e-26
17,5015,1949,50000,7529,7529,0.03898,1.0,0.96102,1000000000.0,0.0,0.0
17,5038,49493,50000,7529,7529,0.98986,1.0,0.010140000000000038,1000000000.0,9.298932067095539e-32,8.851044102582173e-31
2,265,40650,50000,7529,7529,0.813,1.0,0.18700000000000006,1000000000.0,0.0,0.0
7,6077,918,50000,7529,7529,0.01836,1.0,0.98164,1000000000.0,0.0,0.0
25,6013,839,50000,7529,7529,0.01678,1.0,0.98322,1000000000.0,0.0,0.0
12,6206,2114,50000,7529,7529,0.04228,1.0,0.95772,1000000000.0,0.0,0.0
13,15727,1359,50000,7529,7529,0.02718,1.0,0.97282,1000000000.0,0.0,0.0
19,12545,49653,50000,7529,7529,0.99306,1.0,0.006939999999999946,1000000000.0,6.213366272003898e-22,4.973121299487634e-21
7,7674,60,50000,7529,7529,0.0012,1.0,0.9988,1000000000.0,0.0,0.0
16,4218,9909,50000,7529,7529,0.19818,1.0,0.80182,1000000000.0,0.0,0.0
16,4242,49644,50000,7529,7529,0.99288,1.0,0.007120000000000015,1000000000.0,1.7436562146420945e-22,1.4108221564695677e-21
7,8192,1391,50000,7529,7529,0.02782,1.0,0.97218,1000000000.0,0.0,0.0
7,7948,1909,50000,7529,7529,0.03818,1.0,0.96182,1000000000.0,0.0,0.0
2,1924,16859,50000,7529,7529,0.33718,1.0,0.66282,1000000000.0,0.0,0.0
7,8761,1311,50000,7529,7529,0.02622,1.0,0.97378,1000000000.0,0.0,0.0
2,2630,5666,50000,7529,7529,0.11332,1.0,0.88668,1000000000.0,0.0,0.0
12,2295,49573,50000,7529,7529,0.99146,1.0,0.008539999999999992,1000000000.0,7.66613241981224e-27,6.731216639639898e-26
16,3720,5298,50000,7529,7529,0.10596,1.0,0.89404,1000000000.0,0.0,0.0
7,11063,49681,50000,7529,7529,0.99362,1.0,0.006380000000000052,1000000000.0,3.233309624338752e-20,2.495765609680394e-19
25,5203,3357,50000,7529,7529,0.06714,1.0,0.93286,1000000000.0,0.0,0.0
12,1867,43179,50000,7529,7529,0.86358,1.0,0.13641999999999999,1000000000.0,0.0,0.0
7,11760,501,50000,7529,7529,0.01002,1.0,0.98998,1000000000.0,0.0,0.0
25,14529,49671,50000,7529,7529,0.99342,1.0,0.00658000000000003,1000000000.0,7.884593925763575e-21,6.164921456787633e-20
18,6989,21194,50000,7529,7529,0.42388,1.0,0.57612,1000000000.0,0.0,0.0
14,1264,48975,50000,7529,7529,0.9795,1.0,0.020499999999999963,1000000000.0,9.035779183809187e-64,1.25015341837532e-62
12,437,6368,50000,7529,7529,0.12736,1.0,0.87264,1000000000.0,0.0,0.0
11,16231,1277,50000,7529,7529,0.02554,1.0,0.97446,1000000000.0,0.0,0.0
11,15968,3943,50000,7529,7529,0.07886,1.0,0.92114,1000000000.0,0.0,0.0
11,15741,7942,50000,7529,7529,0.15884,1.0,0.84116,1000000000.0,0.0,0.0
16,1611,161,50000,7529,7529,0.00322,1.0,0.99678,1000000000.0,0.0,0.0
23,1150,49470,50000,7529,7529,0.9894,1.0,0.010600000000000054,1000000000.0,3.5782487990342484e-33,3.47825739088562e-32
17,6800,49697,50000,7529,7529,0.99394,1.0,0.006059999999999954,1000000000.0,3.09027245428217e-19,2.3343854113436937e-18
11,14793,5871,50000,7529,7529,0.11742,1.0,0.88258,1000000000.0,0.0,0.0
11,14401,49649,50000,7529,7529,0.99298,1.0,0.007020000000000026,1000000000.0,3.532357527997843e-22,2.840502490290771e-21
20,2408,49593,50000,7529,7529,0.99186,1.0,0.008140000000000036,1000000000.0,1.295555918377561e-25,1.1115082823131937e-24
15,16181,2712,50000,7529,7529,0.05424,1.0,0.94576,1000000000.0,0.0,0.0
2,6594,10074,50000,7529,7529,0.20148,1.0,0.79852,1000000000.0,0.0,0.0
22,16261,2653,50000,7529,7529,0.05306,1.0,0.94694,1000000000.0,0.0,0.0
11,12403,3375,50000,7529,7529,0.0675,1.0,0.9325,1000000000.0,0.0,0.0
14,3427,842,50000,7529,7529,0.01684,1.0,0.98316,1000000000.0,0.0,0.0
14,3485,4791,50000,7529,7529,0.09582,1.0,0.90418,1000000000.0,0.0,0.0
14,3604,49483,50000,7529,7529,0.98966,1.0,0.010340000000000016,1000000000.0,2.256286609637099e-32,2.169229022117112e-31
20,4001,22928,50000,7529,7529,0.45856,1.0,0.5414399999999999,1000000000.0,0.0,0.0
20,5349,49296,50000,7529,7529,0.98592,1.0,0.014079999999999981,1000000000.0,6.772862921714919e-44,7.575903260887556e-43
25,14164,8162,50000,7529,7529,0.16324,1.0,0.83676,1000000000.0,0.0,0.0
17,7713,2699,50000,7529,7529,0.05398,1.0,0.94602,1000000000.0,0.0,0.0
14,4680,2222,50000,7529,7529,0.04444,1.0,0.95556,1000000000.0,0.0,0.0
18,4911,1202,50000,7529,7529,0.02404,1.0,0.97596,1000000000.0,0.0,0.0
24,6408,46083,50000,7529,7529,0.92166,1.0,0.07833999999999997,1000000000.0,1.6603075117311886e-248,6.19646429890747e-247
2,9053,16128,50000,7529,7529,0.32256,1.0,0.67744,1000000000.0,0.0,0.0
15,14234,49659,50000,7529,7529,0.99318,1.0,0.006820000000000048,1000000000.0,1.4493920000661784e-21,1.1508233675999047e-20
