layer,feature
0,289
0,344
0,799
0,861
0,981
0,1279
0,1281
0,1442
0,1466
0,1616
0,1734
0,2261
0,2370
0,2373
0,2546
0,2564
0,2686
0,2918
0,3019
0,3020
0,3069
0,3398
0,3489
0,3496
0,3587
0,3805
0,3893
0,3914
0,3922
0,3992
0,4115
0,4167
0,4369
0,4779
0,4809
0,5070
0,5195
0,5210
0,5527
0,5540
0,5549
0,5610
0,5653
0,5913
0,6050
0,6066
0,6152
0,6357
0,6551
0,6596
0,6831
0,6972
0,7745
0,7766
0,8002
0,8072
0,8166
0,8267
0,8309
0,8570
0,8635
0,8714
0,8765
0,8806
0,8952
0,9120
0,9252
0,9332
0,9444
0,9518
0,9743
0,9762
0,9958
0,9968
0,10435
0,10591
0,10714
0,10916
0,10922
0,10998
0,11003
0,11082
0,11153
0,11393
0,11428
0,11503
0,11509
0,11611
0,11690
0,11718
0,11741
0,11815
0,12182
0,12237
0,12281
0,12433
0,12532
0,12692
0,12705
0,12877
0,12954
0,13294
0,13581
0,13644
0,13653
0,13745
0,13800
0,13970
0,14487
0,14570
0,14681
0,14714
0,14718
0,14890
0,14928
0,14975
0,15086
0,15242
0,15330
0,15378
0,15493
0,15628
0,15867
0,16044
0,16310
0,16360
1,167
1,314
1,338
1,383
1,401
1,549
1,677
1,740
1,925
1,1074
1,1160
1,1184
1,1340
1,1639
1,1728
1,1752
1,2365
1,2573
1,2917
1,3295
1,3350
1,3497
1,3891
1,3943
1,4076
1,4331
1,4509
1,4597
1,4814
1,4989
1,5444
1,5851
1,5875
1,5909
1,6093
1,6144
1,6226
1,6292
1,6398
1,6636
1,6666
1,6855
1,6962
1,7201
1,7458
1,7472
1,7603
1,7608
1,7669
1,7991
1,8027
1,8456
1,8770
1,8849
1,8880
1,8967
1,9175
1,9195
1,9509
1,9774
1,9802
1,9924
1,10056
1,10327
1,10331
1,10833
1,10953
1,11158
1,11277
1,11332
1,11425
1,11673
1,11791
1,11936
1,11948
1,12015
1,12126
1,12200
1,12239
1,12335
1,12347
1,12458
1,12506
1,12806
1,12837
1,12874
1,13019
1,13021
1,13053
1,13084
1,13139
1,13216
1,13237
1,13259
1,13434
1,13443
1,13528
1,13624
1,13795
1,13886
1,14037
1,14182
1,14484
1,14696
1,14816
1,14885
1,15066
1,15096
1,15288
1,15488
1,15504
1,15521
1,15564
1,15654
1,15795
1,15936
1,16064
1,16160
1,16366
2,171
2,265
2,270
2,423
2,561
2,627
2,660
2,884
2,979
2,1230
2,1231
2,1333
2,1432
2,1486
2,1497
2,1546
2,1587
2,1854
2,1881
2,1924
2,2032
2,2080
2,2160
2,2349
2,2582
2,2630
2,2642
2,2644
2,2840
2,3252
2,3353
2,3519
2,3572
2,3617
2,3729
2,3743
2,3792
2,3913
2,3922
2,3965
2,4000
2,4025
2,4075
2,4215
2,4277
2,4279
2,4282
2,4305
2,4334
2,4364
2,4445
2,4511
2,4533
2,4553
2,4595
2,5029
2,5105
2,5538
2,5767
2,5889
2,5902
2,6078
2,6174
2,6199
2,6230
2,6372
2,6594
2,6599
2,6647
2,6662
2,6690
2,6821
2,6908
2,6919
2,6927
2,6936
2,6985
2,7087
2,7109
2,7180
2,7262
2,7300
2,7652
2,7823
2,7832
2,7911
2,7973
2,8069
2,8157
2,8177
2,8182
2,8234
2,8295
2,8335
2,8412
2,8641
2,8692
2,8714
2,8883
2,8911
2,9053
2,9067
2,9378
2,9386
2,9390
2,9434
2,9526
2,9574
2,9640
2,9688
2,9742
2,9745
2,9780
2,9785
2,9786
2,9895
2,9916
2,10112
2,10157
2,10321
2,10412
2,10487
2,10528
2,10705
2,11186
2,11201
