layer,feature
9,9885
7,3547
15,5074
7,2509
13,11972
14,7199
10,11465
12,8942
9,2395
25,7022
11,10017
21,14835
23,4515
25,2123
13,3210
10,11574
10,8056
24,1434
22,15113
12,3718
16,14236
14,1620
12,6425
7,9793
11,6616
17,15749
15,7447
10,11456
11,6096
11,9639
11,2393
10,10009
25,14757
9,15439
10,13207
11,2419
11,12860
9,5038
8,12735
12,8561
9,3532
7,15872
7,2362
25,9486
24,7247
13,35
25,8327
9,11245
10,1966
25,7389
9,10292
4,11756
10,14718
22,11226
18,8306
10,2793
25,8716
25,7603
10,3590
1,7991
12,14681
25,11792
25,12335
10,901
24,2088
3,538
9,15031
9,5073
13,13021
25,15646
11,13988
10,1804
25,1941
10,192
0,7810
20,10740
25,12814
12,3132
25,11365
18,2118
9,3721
9,2677
7,8432
8,7882
21,10872
12,8624
10,3489
25,14491
9,11964
24,16247
10,15779
9,12544
14,6628
0,2011
22,13088
24,13212
10,880
12,13232
10,5686
11,15710
20,1174
13,9163
9,38
10,3902
13,2429
8,5387
14,15257
22,915
10,3573
10,2187
25,9026
12,9409
5,10679
6,5354
20,13779
10,2887
12,14347
12,4302
24,9992
9,2197
25,14289
24,10790
12,3122
25,3766
10,14911
9,2234
6,6482
22,10428
7,10881
25,6071
10,12628
13,16103
25,7509
11,7891
9,13638
11,1814
9,1012
9,13782
12,4770
25,8841
21,5722
9,4125
23,2377
25,8226
23,7372
15,15574
10,2640
7,11595
9,5197
24,8901
13,5190
24,2539
10,12422
9,5099
25,7621
3,6567
9,11592
21,14033
4,12355
10,8661
24,3316
10,3692
12,2602
25,3356
25,7191
25,13777
8,11596
11,5881
9,3884
12,16244
10,13718
14,971
3,1000
10,3359
24,16182
25,3379
22,460
25,538
25,3361
21,8021
25,5024
12,15158
25,3765
10,1733
24,10462
24,8269
15,8901
12,12754
21,5499
9,11829
10,6970
11,15502
11,415
10,3870
9,13857
22,14622
9,10742
8,9770
25,9695
9,4075
25,7964
24,11097
18,14513
2,15933
7,377
20,9720
11,1743
25,16362
2,12714
9,11613
7,9579
14,7870
12,5283
9,2271
11,6227
2,15263
12,13125
23,14757
2,6927
9,11161
12,14107
23,15791
9,2712
25,1641
25,4885
25,7271
19,4615
13,3383
25,14815
0,11393
20,11261
9,212
25,16250
10,719
24,10822
25,15680
25,7528
10,6372
9,15450
8,862
1,6636
18,7200
24,14403
12,2053
7,6326
24,3998
12,16116
2,14028
9,10694
8,4658
3,5013
25,13802
23,2341
9,6976
4,16171
24,8824
25,13610
25,9319
25,9393
10,2571
11,7845
12,835
0,16186
0,4439
