layer,feature,c_vqa,n_vqa,c_vsr,n_vsr,odds_ratio,p_raw,freq_vsr,freq_vqa,freq_diff,p_adj
9,9885,164,1323088,34148,2701355,103.27604492310478,0.0,0.0126410634662974,0.0001239524506306,0.0125171110156668,0.0
4,3211,240,1323088,33024,2701355,68.21638125105169,0.0,0.0122249759842745,0.0001813938301911,0.0120435821540833,0.0
4,6738,956,1323088,29640,2701355,15.342813111823077,0.0,0.0109722713230952,0.0007225520902615,0.0102497192328336,0.0
7,3547,1548,1323088,36868,2701355,11.81259541707826,0.0,0.0136479655580255,0.0011699902047331,0.0124779753532923,0.0
3,1384,1538,1323088,36237,2701355,11.683233513968569,0.0,0.0134143790801283,0.0011624321284752,0.0122519469516531,0.0
15,5074,1719,1323088,35818,2701355,10.329156413580291,0.0,0.013259271735851,0.0012992333087443,0.0119600384271066,0.0
7,2509,2761,1323088,56204,2701355,10.160892435779989,0.0,0.0208058548395157,0.0020867848548244,0.0187190699846912,0.0
13,11972,2916,1323088,56696,2701355,9.705674786648483,0.0,0.0209879856590488,0.0022039350368229,0.0187840506222259,0.0
14,7199,2685,1323088,52083,2701355,9.66788898186783,0.0,0.0192803241336292,0.0020293434752639,0.0172509806583653,0.0
10,11465,4475,1323088,84285,2701355,9.489848200105568,0.0,0.0312010083828301,0.0033822391254398,0.0278187692573902,0.0
6,6783,4676,1323088,86287,2701355,9.303342897270111,0.0,0.0319421179371093,0.003534156458225,0.0284079614788843,0.0
12,8942,4075,1323088,75393,2701355,9.29317361140214,0.0,0.0279093269859015,0.0030799160751212,0.0248294109107802,0.0
9,2395,5507,1323088,100240,2701355,9.220272391455168,0.0,0.0371073035569186,0.0041622325952619,0.0329450709616566,0.0
8,11409,2067,1323088,38041,2701355,9.12848692461994,0.0,0.0140821920850832,0.0015622543625216,0.0125199377225616,0.0
4,6697,5867,1323088,104628,2701355,9.046158393909566,0.0,0.0387316735490152,0.0044343233405487,0.0342973502084664,0.0
5,972,5954,1323088,105554,2701355,8.99548182811041,0.0,0.0390744644817138,0.004500078603993,0.0345743858777207,0.0
