layer,feature,c_vqa,n_vqa,c_vsr,n_vsr,freq_vqa,freq_vsr,freq_diff,odds_ratio,p_raw,p_adj,fire_fraction
0,289,49295,50000,7529,7529,0.9859,1.0,0.0141,1000000000.0,5.875495830864222e-44,6.577146202803556e-43,0.985
6,3612,36320,50000,7529,7529,0.7264,1.0,0.2735999999999999,1000000000.0,0.0,0.0,0.61
13,10032,49523,50000,7529,7529,0.99046,1.0,0.0095399999999999,1000000000.0,6.49911956765029e-30,5.996882878971408e-29,0.722
13,11031,3507,50000,7529,7529,0.07014,1.0,0.92986,1000000000.0,0.0,0.0,0.021
6,2180,49645,50000,7529,7529,0.9929,1.0,0.0070999999999999,1000000000.0,2.0080934719699332e-22,1.6225946804067606e-21,1.0
16,15762,49712,50000,7529,7529,0.99424,1.0,0.0057599999999999,1000000000.0,2.5633451808808198e-18,1.8966581559305482e-17,0.995
13,7747,49572,50000,7529,7529,0.99144,1.0,0.00856,1000000000.0,6.655339260399863e-27,5.85153362126352e-26,0.983
6,1295,8774,50000,7529,7529,0.17548,1.0,0.82452,1000000000.0,0.0,0.0,0.15
25,9261,4541,50000,7529,7529,0.09082,1.0,0.90918,1000000000.0,0.0,0.0,0.039
18,14861,49363,50000,7529,7529,0.98726,1.0,0.0127399999999999,1000000000.0,9.20186089439608e-40,9.784203657335743e-39,0.777
13,11349,39407,50000,7529,7529,0.78814,1.0,0.21186,1000000000.0,0.0,0.0,0.816
17,1531,2925,50000,7529,7529,0.0585,1.0,0.9415,1000000000.0,0.0,0.0,0.039
0,981,47169,50000,7529,7529,0.94338,1.0,0.05662,1000000000.0,6.660995027336826e-178,1.910759128434377e-176,0.908
1,6666,23908,50000,7529,7529,0.47816,1.0,0.5218400000000001,1000000000.0,0.0,0.0,0.34
13,4653,2221,50000,7529,7529,0.04442,1.0,0.95558,1000000000.0,0.0,0.0,0.01
16,14942,2861,50000,7529,7529,0.05722,1.0,0.94278,1000000000.0,0.0,0.0,0.448
1,7201,34462,50000,7529,7529,0.68924,1.0,0.31076,1000000000.0,0.0,0.0,0.642
13,3202,49492,50000,7529,7529,0.98984,1.0,0.0101599999999999,1000000000.0,8.071131226487318e-32,7.689769328317357e-31,0.942
16,13457,6119,50000,7529,7529,0.12238,1.0,0.87762,1000000000.0,0.0,0.0,0.104
16,14138,49656,50000,7529,7529,0.99312,1.0,0.0068799999999999,1000000000.0,9.489898981447178e-22,7.563793600480475e-21,1.0
16,13636,49689,50000,7529,7529,0.99378,1.0,0.00622,1000000000.0,9.996750079131124e-20,7.635198453954519e-19,0.989
19,695,49514,50000,7529,7529,0.99028,1.0,0.0097199999999999,1000000000.0,1.8181826419876365e-30,1.6932287931539098e-29,1.0
16,13375,49666,50000,7529,7529,0.99332,1.0,0.00668,1000000000.0,3.8931594873170884e-21,3.064062172831931e-20,0.996
16,12800,49668,50000,7529,7529,0.99336,1.0,0.0066399999999999,1000000000.0,5.162933158773461e-21,4.051221114623773e-20,0.964
5,12051,5469,50000,7529,7529,0.10938,1.0,0.89062,1000000000.0,0.0,0.0,0.114
16,12143,10743,50000,7529,7529,0.21486,1.0,0.78514,1000000000.0,0.0,0.0,0.12
18,9891,49534,50000,7529,7529,0.99068,1.0,0.0093199999999999,1000000000.0,3.0823458423509897e-29,2.8153048120844013e-28,0.978
16,11340,4301,50000,7529,7529,0.08602,1.0,0.91398,1000000000.0,0.0,0.0,0.057
17,3152,49600,50000,7529,7529,0.992,1.0,0.008,1000000000.0,3.484215567165917e-25,2.9670008540562183e-24,0.996
23,9622,49708,50000,7529,7529,0.99416,1.0,0.0058399999999999,1000000000.0,1.4581973077395591e-18,1.0849919161938277e-17,0.99
16,10902,49707,50000,7529,7529,0.99414,1.0,0.0058599999999999,1000000000.0,1.2663848869283522e-18,9.4350724022892e-18,0.997
13,13597,49605,50000,7529,7529,0.9921,1.0,0.0079,1000000000.0,7.062564662504538e-25,5.9791711453233175e-24,0.993
19,4195,49558,50000,7529,7529,0.99116,1.0,0.0088399999999999,1000000000.0,9.191010016934897e-28,8.194958161114355e-27,0.951
12,14420,49445,50000,7529,7529,0.9889,1.0,0.0110999999999999,1000000000.0,1.0355936826256444e-34,1.0287447863896334e-33,0.577
12,13952,10258,50000,7529,7529,0.20516,1.0,0.79484,1000000000.0,0.0,0.0,0.139
6,13708,49629,50000,7529,7529,0.99258,1.0,0.0074199999999999,1000000000.0,2.0964121218658846e-23,1.7264112691790072e-22,1.0
12,13476,4345,50000,7529,7529,0.0869,1.0,0.9131,1000000000.0,0.0,0.0,0.119
13,13949,6298,50000,7529,7529,0.12596,1.0,0.87404,1000000000.0,0.0,0.0,0.294
12,13137,3684,50000,7529,7529,0.07368,1.0,0.92632,1000000000.0,0.0,0.0,0.124
24,1092,2312,50000,7529,7529,0.04624,1.0,0.95376,1000000000.0,0.0,0.0,0.08
6,14332,49674,50000,7529,7529,0.99348,1.0,0.0065199999999999,1000000000.0,1.2040701836524236e-20,9.378753188264441e-20,1.0
16,8642,49715,50000,7529,7529,0.9943,1.0,0.0057,1000000000.0,3.913254805483407e-18,2.883805786798795e-17,1.0
12,12463,49710,50000,7529,7529,0.9942,1.0,0.0058,1000000000.0,1.933365615613803e-18,1.4346633076710278e-17,0.994
12,12338,2914,50000,7529,7529,0.05828,1.0,0.94172,1000000000.0,0.0,0.0,0.015
17,4324,49733,50000,7529,7529,0.99466,1.0,0.00534,1000000000.0,4.951163046129932e-17,3.551059432000897e-16,1.0
12,11355,1192,50000,7529,7529,0.02384,1.0,0.97616,1000000000.0,0.0,0.0,0.015
1,13237,23160,50000,7529,7529,0.4632,1.0,0.5367999999999999,1000000000.0,0.0,0.0,0.126
19,7095,49472,50000,7529,7529,0.98944,1.0,0.01056,1000000000.0,4.7502635729827444e-33,4.610577315212198e-32,0.776
19,7283,5348,50000,7529,7529,0.10696,1.0,0.8930400000000001,1000000000.0,0.0,0.0,0.108
19,7872,49619,50000,7529,7529,0.99238,1.0,0.0076199999999999,1000000000.0,5.105165068805906e-24,4.2547270492246883e-23,0.539
25,9581,8368,50000,7529,7529,0.16736,1.0,0.83264,1000000000.0,0.0,0.0,0.159
23,6567,5950,50000,7529,7529,0.119,1.0,0.881,1000000000.0,0.0,0.0,0.015
7,2398,49711,50000,7529,7529,0.99422,1.0,0.00578,1000000000.0,2.226184302020361e-18,1.6498528048710686e-17,1.0
12,8592,49639,50000,7529,7529,0.99278,1.0,0.00722,1000000000.0,8.606533618639321e-23,7.004940228901472e-22,0.989
19,10343,49706,50000,7529,7529,0.99412,1.0,0.0058799999999999,1000000000.0,1.0998007123933828e-18,8.20529111281123e-18,1.0
12,7779,49654,50000,7529,7529,0.99308,1.0,0.00692,1000000000.0,7.155494492528273e-22,5.719240029092547e-21,1.0
12,7613,49568,50000,7529,7529,0.99136,1.0,0.0086399999999999,1000000000.0,3.78036884629054e-27,3.338260038595003e-26,0.984
17,5038,49493,50000,7529,7529,0.98986,1.0,0.01014,1000000000.0,9.298932067095539e-32,8.851044102582173e-31,0.965
2,265,40650,50000,7529,7529,0.813,1.0,0.187,1000000000.0,0.0,0.0,0.764
25,6013,839,50000,7529,7529,0.01678,1.0,0.98322,1000000000.0,0.0,0.0,0.041
12,6206,2114,50000,7529,7529,0.04228,1.0,0.95772,1000000000.0,0.0,0.0,0.071
13,15727,1359,50000,7529,7529,0.02718,1.0,0.97282,1000000000.0,0.0,0.0,0.047
19,12545,49653,50000,7529,7529,0.99306,1.0,0.0069399999999999,1000000000.0,6.213366272003898e-22,4.973121299487634e-21,1.0
16,4218,9909,50000,7529,7529,0.19818,1.0,0.80182,1000000000.0,0.0,0.0,0.192
16,4242,49644,50000,7529,7529,0.99288,1.0,0.00712,1000000000.0,1.7436562146420945e-22,1.4108221564695677e-21,0.98
7,8192,1391,50000,7529,7529,0.02782,1.0,0.97218,1000000000.0,0.0,0.0,0.015
7,7948,1909,50000,7529,7529,0.03818,1.0,0.96182,1000000000.0,0.0,0.0,0.06
2,1924,16859,50000,7529,7529,0.33718,1.0,0.66282,1000000000.0,0.0,0.0,0.267
7,8761,1311,50000,7529,7529,0.02622,1.0,0.97378,1000000000.0,0.0,0.0,0.045
2,2630,5666,50000,7529,7529,0.11332,1.0,0.88668,1000000000.0,0.0,0.0,0.135
12,2295,49573,50000,7529,7529,0.99146,1.0,0.0085399999999999,1000000000.0,7.66613241981224e-27,6.731216639639898e-26,0.908
16,3720,5298,50000,7529,7529,0.10596,1.0,0.89404,1000000000.0,0.0,0.0,0.124
7,11063,49681,50000,7529,7529,0.99362,1.0,0.00638,1000000000.0,3.233309624338752e-20,2.4957656096803943e-19,1.0
25,5203,3357,50000,7529,7529,0.06714,1.0,0.93286,1000000000.0,0.0,0.0,0.099
12,1867,43179,50000,7529,7529,0.86358,1.0,0.1364199999999999,1000000000.0,0.0,0.0,0.823
7,11760,501,50000,7529,7529,0.01002,1.0,0.98998,1000000000.0,0.0,0.0,0.03
25,14529,49671,50000,7529,7529,0.99342,1.0,0.00658,1000000000.0,7.884593925763575e-21,6.164921456787633e-20,0.996
18,6989,21194,50000,7529,7529,0.42388,1.0,0.57612,1000000000.0,0.0,0.0,0.01
14,1264,48975,50000,7529,7529,0.9795,1.0,0.0204999999999999,1000000000.0,9.035779183809189e-64,1.2501534183753199e-62,0.981
12,437,6368,50000,7529,7529,0.12736,1.0,0.87264,1000000000.0,0.0,0.0,0.948
11,16231,1277,50000,7529,7529,0.02554,1.0,0.97446,1000000000.0,0.0,0.0,0.015
11,15968,3943,50000,7529,7529,0.07886,1.0,0.92114,1000000000.0,0.0,0.0,0.174
11,15741,7942,50000,7529,7529,0.15884,1.0,0.84116,1000000000.0,0.0,0.0,0.169
23,1150,49470,50000,7529,7529,0.9894,1.0,0.0106,1000000000.0,3.5782487990342484e-33,3.47825739088562e-32,0.74
17,6800,49697,50000,7529,7529,0.99394,1.0,0.0060599999999999,1000000000.0,3.0902724542821704e-19,2.3343854113436937e-18,0.994
11,14793,5871,50000,7529,7529,0.11742,1.0,0.88258,1000000000.0,0.0,0.0,0.118
11,14401,49649,50000,7529,7529,0.99298,1.0,0.00702,1000000000.0,3.5323575279978433e-22,2.840502490290771e-21,0.982
20,2408,49593,50000,7529,7529,0.99186,1.0,0.00814,1000000000.0,1.295555918377561e-25,1.1115082823131936e-24,0.947
15,16181,2712,50000,7529,7529,0.05424,1.0,0.94576,1000000000.0,0.0,0.0,0.056
2,6594,10074,50000,7529,7529,0.20148,1.0,0.79852,1000000000.0,0.0,0.0,0.259
22,16261,2653,50000,7529,7529,0.05306,1.0,0.94694,1000000000.0,0.0,0.0,0.112
14,3427,842,50000,7529,7529,0.01684,1.0,0.98316,1000000000.0,0.0,0.0,0.482
14,3604,49483,50000,7529,7529,0.98966,1.0,0.01034,1000000000.0,2.256286609637099e-32,2.169229022117112e-31,0.886
20,4001,22928,50000,7529,7529,0.45856,1.0,0.5414399999999999,1000000000.0,0.0,0.0,0.168
20,5349,49296,50000,7529,7529,0.98592,1.0,0.0140799999999999,1000000000.0,6.772862921714919e-44,7.575903260887556e-43,0.952
25,14164,8162,50000,7529,7529,0.16324,1.0,0.83676,1000000000.0,0.0,0.0,0.036
17,7713,2699,50000,7529,7529,0.05398,1.0,0.94602,1000000000.0,0.0,0.0,0.21
24,6408,46083,50000,7529,7529,0.92166,1.0,0.0783399999999999,1000000000.0,1.6603075117311886e-248,6.196464298907471e-247,0.972
2,9053,16128,50000,7529,7529,0.32256,1.0,0.67744,1000000000.0,0.0,0.0,0.229
15,14234,49659,50000,7529,7529,0.99318,1.0,0.00682,1000000000.0,1.4493920000661784e-21,1.1508233675999047e-20,0.98
22,14697,1990,50000,7529,7529,0.0398,1.0,0.9602,1000000000.0,0.0,0.0,0.046
8,3355,3490,50000,7529,7529,0.0698,1.0,0.9302,1000000000.0,0.0,0.0,0.065
11,8494,49523,50000,7529,7529,0.99046,1.0,0.0095399999999999,1000000000.0,6.49911956765029e-30,5.996882878971408e-29,0.976
11,8206,1893,50000,7529,7529,0.03786,1.0,0.96214,1000000000.0,0.0,0.0,0.387
11,7746,49544,50000,7529,7529,0.99088,1.0,0.00912,1000000000.0,1.2686147418542286e-28,1.1465874187261983e-27,0.952
8,4873,5135,50000,7529,7529,0.1027,1.0,0.8973,1000000000.0,0.0,0.0,0.052
8,5663,28634,50000,7529,7529,0.57268,1.0,0.42732,1000000000.0,0.0,0.0,0.309
15,12556,49571,50000,7529,7529,0.99142,1.0,0.00858,1000000000.0,5.7778056043947036e-27,5.085653241140743e-26,0.966
15,12589,49534,50000,7529,7529,0.99068,1.0,0.0093199999999999,1000000000.0,3.0823458423509897e-29,2.8153048120844013e-28,0.831
0,6066,27360,50000,7529,7529,0.5472,1.0,0.4528,1000000000.0,0.0,0.0,0.476
20,8645,4773,50000,7529,7529,0.09546,1.0,0.90454,1000000000.0,0.0,0.0,0.035
8,7338,49714,50000,7529,7529,0.99428,1.0,0.0057199999999999,1000000000.0,3.3985651361646225e-18,2.507854716886001e-17,1.0
14,6514,49664,50000,7529,7529,0.99328,1.0,0.0067199999999999,1000000000.0,2.9356432948276187e-21,2.3155949880637875e-20,1.0
22,11617,3695,50000,7529,7529,0.0739,1.0,0.9261,1000000000.0,0.0,0.0,0.038
15,10840,49719,50000,7529,7529,0.99438,1.0,0.0056199999999999,1000000000.0,6.878547734819656e-18,5.0401666407551545e-17,1.0
4,7643,49640,50000,7529,7529,0.9928,1.0,0.0071999999999999,1000000000.0,9.911904118533266e-23,8.058002183303641e-22,1.0
15,9871,49668,50000,7529,7529,0.99336,1.0,0.0066399999999999,1000000000.0,5.162933158773461e-21,4.051221114623773e-20,0.996
