layer,feature,generic_fire_count,total_tests,fire_fraction,passed_lexical_filter
9,15031,111,1000,0.111,True
10,10009,189,1000,0.189,True
17,15749,181,1000,0.181,True
18,2118,171,1000,0.171,True
18,7200,477,1000,0.477,True
18,8306,135,1000,0.135,True
18,14513,996,1000,0.996,True
19,4615,907,1000,0.907,True
20,1174,99,1000,0.099,True
20,9720,258,1000,0.258,True
20,10740,158,1000,0.158,True
20,11261,440,1000,0.44,True
20,13779,229,1000,0.229,True
21,5499,598,1000,0.598,True
21,5722,263,1000,0.263,True
21,8021,417,1000,0.417,True
21,10872,255,1000,0.255,True
21,14033,426,1000,0.426,True
21,14835,58,1000,0.058,True
22,460,896,1000,0.896,True
22,915,196,1000,0.196,True
22,10428,92,1000,0.092,True
22,11226,38,1000,0.038,True
22,13088,355,1000,0.355,True
22,14622,397,1000,0.397,True
22,15113,64,1000,0.064,True
23,2341,850,1000,0.85,True
23,2377,103,1000,0.103,True
23,4515,83,1000,0.083,True
23,7372,907,1000,0.907,True
23,14757,364,1000,0.364,True
23,15791,404,1000,0.404,True
25,1941,296,1000,0.296,True
25,7022,85,1000,0.085,True
25,12814,200,1000,0.2,True
25,14757,218,1000,0.218,True
