layer,feature,fire_fraction
9,9885,0.015
7,3547,1.0
15,5074,0.015
7,2509,0.104
13,11972,0.027
14,7199,0.024
10,11465,0.027
12,8942,0.024
9,2395,0.036
25,7022,0.085
11,10017,0.015
21,14835,0.062
23,4515,0.083
25,2123,0.036
13,3210,0.191
10,11574,0.118
10,8056,0.075
22,15113,0.064
12,3718,0.051
16,14236,0.116
14,1620,0.203
12,6425,0.213
7,9793,0.039
11,6616,0.018
17,15749,0.181
15,7447,0.277
10,11456,0.25
11,6096,0.14
11,9639,0.129
11,2393,0.256
10,10009,0.189
25,14757,0.218
9,15439,0.247
10,13207,0.106
11,2419,0.155
11,12860,0.09
9,5038,0.093
8,12735,0.205
12,8561,0.265
9,3532,0.027
7,15872,0.815
7,2362,0.316
25,9486,0.151
24,7247,0.112
13,35,0.136
25,8327,0.09
9,11245,0.111
10,1966,0.072
25,7389,0.091
4,11756,1.0
10,14718,0.065
22,11226,0.038
18,8306,0.135
10,2793,0.399
25,8716,0.117
25,7603,0.247
10,3590,0.116
1,7991,0.26
12,14681,0.549
25,11792,0.084
25,12335,0.213
10,901,0.053
24,2088,0.092
3,538,0.243
9,15031,0.111
9,5073,0.084
13,13021,0.1
25,15646,0.153
11,13988,0.135
10,1804,0.093
25,1941,0.296
10,192,0.229
0,7810,0.13
20,10740,0.158
25,12814,0.2
25,11365,0.066
18,2118,0.171
9,3721,0.157
9,2677,0.091
7,8432,0.293
8,7882,0.483
21,10872,0.255
12,8624,0.373
10,3489,0.042
25,14491,0.348
9,11964,0.042
24,16247,0.197
10,15779,0.121
9,12544,0.064
14,6628,0.251
0,2011,0.964
22,13088,0.355
24,13212,0.169
10,880,0.144
12,13232,0.259
10,5686,0.081
11,15710,0.181
20,1174,0.099
13,9163,0.062
9,38,0.199
10,3902,0.243
13,2429,0.192
8,5387,0.554
14,15257,0.273
22,915,0.196
10,3573,0.228
10,2187,0.115
25,9026,0.161
12,9409,0.15
5,10679,0.194
6,5354,0.366
20,13779,0.229
10,2887,0.398
12,14347,0.083
12,4302,0.174
24,9992,0.157
9,2197,0.165
25,14289,0.683
24,10790,0.198
12,3122,0.171
10,14911,0.275
9,2234,0.047
6,6482,0.131
22,10428,0.092
7,10881,0.473
25,6071,0.122
10,12628,0.368
13,16103,0.135
25,7509,0.325
11,7891,0.143
9,13638,0.344
11,1814,0.345
9,1012,0.217
9,13782,0.281
12,4770,0.238
25,8841,0.076
21,5722,0.263
9,4125,0.317
23,2377,0.103
25,8226,0.075
23,7372,0.907
15,15574,0.191
10,2640,0.216
7,11595,0.354
9,5197,0.179
24,8901,0.132
13,5190,0.023
24,2539,0.298
10,12422,0.279
9,5099,0.133
25,7621,0.55
3,6567,0.195
9,11592,0.204
21,14033,0.423
4,12355,0.675
10,8661,0.21
24,3316,0.144
10,3692,0.25
12,2602,0.554
25,7191,0.135
25,13777,0.23
8,11596,0.11
11,5881,0.376
9,3884,0.083
12,16244,0.174
10,13718,0.381
14,971,0.849
3,1000,1.0
10,3359,0.047
24,16182,0.148
22,460,0.896
25,538,0.124
25,3361,0.201
21,8021,0.425
25,5024,0.369
12,15158,0.068
25,3765,0.415
10,1733,0.079
24,10462,0.546
24,8269,0.151
15,8901,0.116
12,12754,0.071
21,5499,0.596
9,11829,0.272
10,6970,0.327
11,15502,0.368
11,415,0.726
10,3870,0.191
9,13857,0.035
22,14622,0.397
9,10742,0.118
8,9770,0.905
25,9695,0.438
9,4075,0.22
25,7964,0.023
24,11097,0.061
18,14513,0.996
2,15933,0.366
7,377,0.298
20,9720,0.258
11,1743,0.638
25,16362,0.11
2,12714,1.0
9,11613,0.093
7,9579,0.113
14,7870,0.35
12,5283,0.058
9,2271,0.347
11,6227,0.991
2,15263,0.676
12,13125,0.53
23,14757,0.364
2,6927,0.213
9,11161,0.138
12,14107,0.281
23,15791,0.404
9,2712,0.358
25,1641,0.988
25,4885,0.051
19,4615,0.907
13,3383,0.486
25,14815,0.143
0,11393,0.739
20,11261,0.44
9,212,0.393
25,16250,0.142
10,719,0.055
24,10822,0.212
25,15680,0.115
25,7528,0.183
10,6372,0.148
9,15450,0.844
8,862,0.419
1,6636,0.249
18,7200,0.477
24,14403,0.24
12,2053,0.291
7,6326,0.792
24,3998,0.216
12,16116,0.178
2,14028,1.0
9,10694,0.064
8,4658,0.427
3,5013,0.11
25,13802,0.097
23,2341,0.85
9,6976,1.0
4,16171,1.0
24,8824,0.646
25,13610,0.295
25,9319,0.672
25,9393,0.577
10,2571,0.619
11,7845,1.0
12,835,0.336
0,16186,0.98
0,4439,0.965
