layer,feature,generic_fire_count,total_tests,fire_fraction,passed_lexical_filter
0,2011,964,1000,0.964,True
0,4439,965,1000,0.965,True
0,7810,130,1000,0.13,True
0,11393,739,1000,0.739,True
0,16186,980,1000,0.98,True
1,6636,249,1000,0.249,True
1,7991,260,1000,0.26,True
2,6927,213,1000,0.213,True
2,12714,1000,1000,1.0,True
2,14028,1000,1000,1.0,True
2,15263,676,1000,0.676,True
2,15933,366,1000,0.366,True
3,538,243,1000,0.243,True
3,1000,1000,1000,1.0,True
3,5013,110,1000,0.11,True
3,6567,195,1000,0.195,True
4,11756,1000,1000,1.0,True
4,12355,675,1000,0.675,True
4,16171,1000,1000,1.0,True
5,10679,194,1000,0.194,True
6,5354,366,1000,0.366,True
6,6482,131,1000,0.131,True
7,377,298,1000,0.298,True
7,2362,316,1000,0.316,True
7,2509,104,1000,0.104,True
7,3547,1000,1000,1.0,True
7,6326,792,1000,0.792,True
7,8432,293,1000,0.293,True
7,9579,113,1000,0.113,True
7,9793,39,1000,0.039,True
7,10881,473,1000,0.473,True
7,11595,354,1000,0.354,True
7,15872,815,1000,0.815,True
8,862,419,1000,0.419,True
8,4658,427,1000,0.427,True
8,5387,554,1000,0.554,True
8,7882,483,1000,0.483,True
8,9770,905,1000,0.905,True
8,11596,110,1000,0.11,True
8,12735,205,1000,0.205,True
9,38,199,1000,0.199,True
9,212,393,1000,0.393,True
9,1012,217,1000,0.217,True
9,2197,165,1000,0.165,True
9,2234,47,1000,0.047,True
9,2271,347,1000,0.347,True
9,2395,36,1000,0.036,True
9,2677,91,1000,0.091,True
9,2712,358,1000,0.358,True
9,3532,27,1000,0.027,True
9,3721,157,1000,0.157,True
9,3884,83,1000,0.083,True
9,4075,220,1000,0.22,True
9,4125,317,1000,0.317,True
9,5038,93,1000,0.093,True
9,5073,84,1000,0.084,True
9,5099,133,1000,0.133,True
9,5197,179,1000,0.179,True
9,6976,1000,1000,1.0,True
9,9885,15,1000,0.015,True
9,10292,0,1000,0.0,False
9,10694,64,1000,0.064,True
9,10742,118,1000,0.118,True
9,11161,138,1000,0.138,True
9,11245,111,1000,0.111,True
9,11592,204,1000,0.204,True
9,11613,93,1000,0.093,True
9,11829,272,1000,0.272,True
9,11964,42,1000,0.042,True
9,12544,64,1000,0.064,True
9,13638,344,1000,0.344,True
9,13782,281,1000,0.281,True
9,13857,35,1000,0.035,True
9,15031,111,1000,0.111,True
9,15439,247,1000,0.247,True
9,15450,844,1000,0.844,True
10,192,229,1000,0.229,True
10,719,55,1000,0.055,True
10,880,144,1000,0.144,True
10,901,53,1000,0.053,True
10,1733,79,1000,0.079,True
10,1804,93,1000,0.093,True
10,1966,72,1000,0.072,True
10,2187,115,1000,0.115,True
10,2571,619,1000,0.619,True
10,2640,216,1000,0.216,True
10,2793,399,1000,0.399,True
10,2887,398,1000,0.398,True
10,3359,47,1000,0.047,True
10,3489,42,1000,0.042,True
10,3573,228,1000,0.228,True
10,3590,116,1000,0.116,True
10,3692,250,1000,0.25,True
10,3870,191,1000,0.191,True
10,3902,243,1000,0.243,True
10,5686,81,1000,0.081,True
10,6372,148,1000,0.148,True
10,6970,327,1000,0.327,True
10,8056,75,1000,0.075,True
10,8661,210,1000,0.21,True
10,10009,189,1000,0.189,True
10,11456,250,1000,0.25,True
10,11465,27,1000,0.027,True
10,11574,118,1000,0.118,True
10,12422,279,1000,0.279,True
10,12628,368,1000,0.368,True
10,13207,106,1000,0.106,True
10,13718,381,1000,0.381,True
10,14718,65,1000,0.065,True
10,14911,275,1000,0.275,True
10,15779,121,1000,0.121,True
11,415,726,1000,0.726,True
11,1743,638,1000,0.638,True
11,1814,345,1000,0.345,True
11,2393,256,1000,0.256,True
11,2419,155,1000,0.155,True
11,5881,376,1000,0.376,True
11,6096,140,1000,0.14,True
11,6227,991,1000,0.991,True
11,6616,18,1000,0.018,True
11,7845,1000,1000,1.0,True
11,7891,143,1000,0.143,True
11,9639,129,1000,0.129,True
11,10017,15,1000,0.015,True
11,12860,90,1000,0.09,True
11,13988,135,1000,0.135,True
11,15502,368,1000,0.368,True
11,15710,181,1000,0.181,True
12,835,336,1000,0.336,True
12,2053,291,1000,0.291,True
12,2602,554,1000,0.554,True
12,3122,171,1000,0.171,True
12,3132,0,1000,0.0,False
12,3718,51,1000,0.051,True
12,4302,174,1000,0.174,True
12,4770,238,1000,0.238,True
12,5283,58,1000,0.058,True
12,6425,213,1000,0.213,True
12,8561,265,1000,0.265,True
12,8624,373,1000,0.373,True
12,8942,24,1000,0.024,True
12,9409,150,1000,0.15,True
12,12754,71,1000,0.071,True
12,13125,530,1000,0.53,True
12,13232,259,1000,0.259,True
12,14107,281,1000,0.281,True
12,14347,83,1000,0.083,True
12,14681,549,1000,0.549,True
12,15158,68,1000,0.068,True
12,16116,178,1000,0.178,True
12,16244,174,1000,0.174,True
13,35,136,1000,0.136,True
13,2429,192,1000,0.192,True
13,3210,191,1000,0.191,True
13,3383,486,1000,0.486,True
13,5190,23,1000,0.023,True
13,9163,62,1000,0.062,True
13,11972,27,1000,0.027,True
13,13021,100,1000,0.1,True
13,16103,135,1000,0.135,True
14,971,849,1000,0.849,True
14,1620,203,1000,0.203,True
14,6628,251,1000,0.251,True
14,7199,24,1000,0.024,True
14,7870,350,1000,0.35,True
14,15257,273,1000,0.273,True
15,5074,15,1000,0.015,True
15,7447,277,1000,0.277,True
15,8901,116,1000,0.116,True
15,15574,191,1000,0.191,True
16,14236,116,1000,0.116,True
17,15749,181,1000,0.181,True
18,2118,171,1000,0.171,True
18,7200,477,1000,0.477,True
18,8306,135,1000,0.135,True
18,14513,996,1000,0.996,True
19,4615,907,1000,0.907,True
20,1174,99,1000,0.099,True
20,9720,258,1000,0.258,True
20,10740,158,1000,0.158,True
20,11261,440,1000,0.44,True
20,13779,229,1000,0.229,True
21,5499,596,1000,0.596,True
21,5722,263,1000,0.263,True
21,8021,425,1000,0.425,True
21,10872,255,1000,0.255,True
21,14033,423,1000,0.423,True
21,14835,62,1000,0.062,True
22,460,896,1000,0.896,True
22,915,196,1000,0.196,True
22,10428,92,1000,0.092,True
22,11226,38,1000,0.038,True
22,13088,355,1000,0.355,True
22,14622,397,1000,0.397,True
22,15113,64,1000,0.064,True
23,2341,850,1000,0.85,True
23,2377,103,1000,0.103,True
23,4515,83,1000,0.083,True
23,7372,907,1000,0.907,True
23,14757,364,1000,0.364,True
23,15791,404,1000,0.404,True
24,1434,0,1000,0.0,False
24,2088,92,1000,0.092,True
24,2539,298,1000,0.298,True
24,3316,144,1000,0.144,True
24,3998,216,1000,0.216,True
24,7247,112,1000,0.112,True
24,8269,151,1000,0.151,True
24,8824,646,1000,0.646,True
24,8901,132,1000,0.132,True
24,9992,157,1000,0.157,True
24,10462,546,1000,0.546,True
24,10790,198,1000,0.198,True
24,10822,212,1000,0.212,True
24,11097,61,1000,0.061,True
24,13212,169,1000,0.169,True
24,14403,240,1000,0.24,True
24,16182,148,1000,0.148,True
24,16247,197,1000,0.197,True
25,538,124,1000,0.124,True
25,1641,988,1000,0.988,True
25,1941,296,1000,0.296,True
25,2123,36,1000,0.036,True
25,3356,6,1000,0.006,False
25,3361,201,1000,0.201,True
25,3379,0,1000,0.0,False
25,3765,415,1000,0.415,True
25,3766,0,1000,0.0,False
25,4885,51,1000,0.051,True
25,5024,369,1000,0.369,True
25,6071,122,1000,0.122,True
25,7022,85,1000,0.085,True
25,7191,135,1000,0.135,True
25,7271,0,1000,0.0,False
25,7389,91,1000,0.091,True
25,7509,325,1000,0.325,True
25,7528,183,1000,0.183,True
25,7603,247,1000,0.247,True
25,7621,550,1000,0.55,True
25,7964,23,1000,0.023,True
25,8226,75,1000,0.075,True
25,8327,90,1000,0.09,True
25,8716,117,1000,0.117,True
25,8841,76,1000,0.076,True
25,9026,161,1000,0.161,True
25,9319,672,1000,0.672,True
25,9393,577,1000,0.577,True
25,9486,151,1000,0.151,True
25,9695,438,1000,0.438,True
25,11365,66,1000,0.066,True
25,11792,84,1000,0.084,True
25,12335,213,1000,0.213,True
25,12814,200,1000,0.2,True
25,13610,295,1000,0.295,True
25,13777,230,1000,0.23,True
25,13802,97,1000,0.097,True
25,14289,683,1000,0.683,True
25,14491,348,1000,0.348,True
25,14757,218,1000,0.218,True
25,14815,143,1000,0.143,True
25,15646,153,1000,0.153,True
25,15680,115,1000,0.115,True
25,16250,142,1000,0.142,True
25,16362,110,1000,0.11,True
