layer,feature,fire_fraction
0,289,0.985
0,344,0.875
0,799,0.87
0,861,1.0
0,981,0.908
0,1279,0.93
0,1281,0.975
0,1442,0.45
0,1466,0.683
0,1616,1.0
0,1734,1.0
0,2261,0.571
0,2370,0.18
0,2373,0.915
0,2546,1.0
0,2564,0.739
0,2686,0.965
0,2918,1.0
0,3019,1.0
0,3020,0.835
0,3069,0.485
0,3398,0.524
0,3489,0.86
0,3496,0.867
0,3587,0.17
0,3805,0.706
0,3893,1.0
0,3914,1.0
0,3922,0.485
0,3992,0.865
0,4115,1.0
0,4167,0.245
0,4369,0.925
0,4779,0.63
0,4809,0.756
0,5070,0.82
0,5195,1.0
0,5527,0.319
0,5540,0.496
0,5549,0.605
0,5610,0.83
0,5653,0.952
0,5913,0.98
0,6050,0.362
0,6066,0.476
0,6152,0.93
0,6357,0.839
0,6551,0.815
0,6596,0.856
0,6831,0.649
0,6972,0.703
0,7745,0.9
0,7766,0.354
0,8002,0.959
0,8072,0.994
0,8166,1.0
0,8267,1.0
0,8309,0.875
0,8570,0.985
0,8635,0.885
0,8714,0.984
0,8765,0.854
0,8806,1.0
0,8952,0.975
0,9120,0.98
0,9252,1.0
0,9332,0.729
0,9444,1.0
0,9518,0.859
0,9743,0.94
0,9762,0.72
0,9958,0.98
0,9968,0.571
0,10435,0.577
0,10591,0.254
0,10714,0.965
0,10916,0.704
0,10998,0.785
0,11003,0.725
0,11082,0.935
0,11153,0.53
0,11393,0.739
0,11428,0.272
0,11503,0.637
0,11509,1.0
0,11611,0.982
0,11690,0.835
0,11718,0.985
0,11741,1.0
0,11815,0.86
0,12182,0.89
0,12237,1.0
0,12281,0.525
0,12433,0.642
0,12532,0.731
0,12692,0.834
0,12705,0.67
0,12877,0.985
0,12954,0.376
0,13294,0.737
0,13581,1.0
0,13644,0.612
0,13653,0.769
0,13745,0.607
0,13800,0.905
0,13970,0.79
0,14487,0.62
0,14570,0.284
0,14681,1.0
0,14714,0.985
0,14718,0.745
0,14890,0.985
0,14928,1.0
0,14975,1.0
0,15086,0.985
0,15242,0.204
0,15330,0.741
0,15378,0.884
0,15493,0.356
0,15628,1.0
0,15867,0.98
0,16044,1.0
0,16310,0.935
0,16360,0.816
1,167,1.0
1,314,0.805
1,338,0.477
1,383,0.784
1,401,0.543
1,549,0.895
1,677,0.581
1,740,1.0
1,925,0.178
1,1074,0.951
1,1160,0.997
1,1184,0.697
1,1340,0.569
1,1639,0.419
1,1728,0.487
1,1752,0.94
1,2365,0.762
1,2573,0.715
1,2917,0.15
1,3295,0.047
1,3350,0.797
1,3497,0.937
1,3891,0.642
1,3943,0.251
1,4076,0.901
1,4331,0.58
1,4509,1.0
1,4597,0.96
1,4814,0.704
1,4989,0.78
1,5444,0.723
1,5851,0.175
1,5875,0.766
1,5909,0.63
1,6093,0.25
1,6144,0.378
1,6226,0.94
1,6292,0.88
1,6398,0.613
1,6636,0.249
1,6666,0.34
1,6855,0.644
1,6962,0.88
1,7201,0.642
1,7458,0.455
1,7472,0.95
1,7603,0.352
1,7608,0.568
1,7669,0.509
1,7991,0.26
