layer,feature,c_vqa,n_vqa,c_vsr,n_vsr,freq_vqa,freq_vsr,freq_diff,odds_ratio,p_raw,p_adj
0,289,49295,50000,7529,7529,0.9859,1.0,0.014100000000000001,1000000000.0,5.875495830864222e-44,6.577146202803556e-43
6,3612,36320,50000,7529,7529,0.7264,1.0,0.27359999999999995,1000000000.0,0.0,0.0
6,3478,12959,50000,7529,7529,0.25918,1.0,0.74082,1000000000.0,0.0,0.0
13,10032,49523,50000,7529,7529,0.99046,1.0,0.009539999999999993,1000000000.0,6.499119567650289e-30,5.996882878971409e-29
13,9836,1143,50000,7529,7529,0.02286,1.0,0.97714,1000000000.0,0.0,0.0
1,4130,12907,50000,7529,7529,0.25814,1.0,0.74186,1000000000.0,0.0,0.0
13,9406,7723,50000,7529,7529,0.15446,1.0,0.84554,1000000000.0,0.0,0.0
18,13007,1910,50000,7529,7529,0.0382,1.0,0.9618,1000000000.0,0.0,0.0
18,13073,48891,50000,7529,7529,0.97782,1.0,0.022179999999999978,1000000000.0,5.433045220254437e-69,7.884412124769593e-68
13,9199,1007,50000,7529,7529,0.02014,1.0,0.97986,1000000000.0,0.0,0.0
13,11031,3507,50000,7529,7529,0.07014,1.0,0.92986,1000000000.0,0.0,0.0
1,3263,27,50000,7529,7529,0.00054,1.0,0.99946,1000000000.0,0.0,0.0
6,5427,13127,50000,7529,7529,0.26254,1.0,0.73746,1000000000.0,0.0,0.0
6,5071,0,50000,78,7529,0.0,0.010359941559304024,0.010359941559304024,1000000000.0,9.187512292946932e-70,1.3433559540738335e-68
6,2180,49645,50000,7529,7529,0.9929,1.0,0.007099999999999995,1000000000.0,2.0080934719699335e-22,1.6225946804067606e-21
6,2351,0,50000,59,7529,0.0,0.00783636605126843,0.00783636605126843,1000000000.0,6.429049587409156e-53,7.968901153556906e-52
6,2419,445,50000,7529,7529,0.0089,1.0,0.9911,1000000000.0,0.0,0.0
0,438,3887,50000,7529,7529,0.07774,1.0,0.92226,1000000000.0,0.0,0.0
0,554,129,50000,7529,7529,0.00258,1.0,0.99742,1000000000.0,0.0,0.0
0,558,278,50000,7529,7529,0.00556,1.0,0.99444,1000000000.0,0.0,0.0
16,15762,49712,50000,7529,7529,0.99424,1.0,0.005759999999999987,1000000000.0,2.56334518088082e-18,1.8966581559305482e-17
16,15874,2565,50000,7529,7529,0.0513,1.0,0.9487,1000000000.0,0.0,0.0
23,12392,30948,50000,7529,7529,0.61896,1.0,0.38104000000000005,1000000000.0,0.0,0.0
0,334,219,50000,7529,7529,0.00438,1.0,0.99562,1000000000.0,0.0,0.0
17,1007,30732,50000,7529,7529,0.61464,1.0,0.38536000000000004,1000000000.0,0.0,0.0
17,1248,2378,50000,7529,7529,0.04756,1.0,0.95244,1000000000.0,0.0,0.0
0,669,143,50000,7529,7529,0.00286,1.0,0.99714,1000000000.0,0.0,0.0
16,16251,13694,50000,7529,7529,0.27388,1.0,0.72612,1000000000.0,0.0,0.0
6,5419,1267,50000,7529,7529,0.02534,1.0,0.97466,1000000000.0,0.0,0.0
18,13198,0,50000,248,7529,0.0,0.032939301368043565,0.032939301368043565,1000000000.0,2.6550292477655194e-221,9.047276050557132e-220
13,8733,1608,50000,7529,7529,0.03216,1.0,0.96784,1000000000.0,0.0,0.0
18,13358,49725,50000,7529,7529,0.9945,1.0,0.005499999999999949,1000000000.0,1.6028771426319344e-17,1.1641944019214354e-16
1,4695,14,50000,7529,7529,0.00028,1.0,0.99972,1000000000.0,0.0,0.0
13,8407,1398,50000,7529,7529,0.02796,1.0,0.97204,1000000000.0,0.0,0.0
18,13773,394,50000,7529,7529,0.00788,1.0,0.99212,1000000000.0,0.0,0.0
18,13853,19859,50000,7529,7529,0.39718,1.0,0.60282,1000000000.0,0.0,0.0
18,13873,1089,50000,7529,7529,0.02178,1.0,0.97822,1000000000.0,0.0,0.0
1,5140,1481,50000,7529,7529,0.02962,1.0,0.97038,1000000000.0,0.0,0.0
13,7600,0,50000,3070,7529,0.0,0.40775667419311995,0.40775667419311995,1000000000.0,0.0,0.0
13,7691,0,50000,877,7529,0.0,0.11648293266037986,0.11648293266037986,1000000000.0,0.0,0.0
13,11070,6674,50000,7529,7529,0.13348,1.0,0.86652,1000000000.0,0.0,0.0
6,1322,56,50000,7529,7529,0.00112,1.0,0.99888,1000000000.0,0.0,0.0
6,1654,559,50000,7529,7529,0.01118,1.0,0.98882,1000000000.0,0.0,0.0
6,5905,2265,50000,7529,7529,0.0453,1.0,0.9547,1000000000.0,0.0,0.0
6,1829,13219,50000,7529,7529,0.26438,1.0,0.7356199999999999,1000000000.0,0.0,0.0
6,1554,824,50000,7529,7529,0.01648,1.0,0.98352,1000000000.0,0.0,0.0
6,5880,1256,50000,7529,7529,0.02512,1.0,0.97488,1000000000.0,0.0,0.0
17,1258,10018,50000,7529,7529,0.20036,1.0,0.79964,1000000000.0,0.0,0.0
0,665,678,50000,7529,7529,0.01356,1.0,0.98644,1000000000.0,0.0,0.0
13,11176,10225,50000,7529,7529,0.2045,1.0,0.7955,1000000000.0,0.0,0.0
13,7747,49572,50000,7529,7529,0.99144,1.0,0.008560000000000012,1000000000.0,6.655339260399863e-27,5.85153362126352e-26
13,7421,331,50000,7529,7529,0.00662,1.0,0.99338,1000000000.0,0.0,0.0
13,7248,1268,50000,7529,7529,0.02536,1.0,0.97464,1000000000.0,0.0,0.0
18,14130,12058,50000,7529,7529,0.24116,1.0,0.75884,1000000000.0,0.0,0.0
18,14412,0,50000,39,7529,0.0,0.005179970779652012,0.005179970779652012,1000000000.0,3.3109110368252986e-35,3.31265296672066e-34
1,5390,28,50000,7529,7529,0.00056,1.0,0.99944,1000000000.0,0.0,0.0
18,11203,341,50000,7529,7529,0.00682,1.0,0.99318,1000000000.0,0.0,0.0
6,925,11044,50000,7529,7529,0.22088,1.0,0.77912,1000000000.0,0.0,0.0
6,7015,0,50000,1534,7529,0.0,0.20374551733297916,0.20374551733297916,1000000000.0,0.0,0.0
6,6784,556,50000,7529,7529,0.01112,1.0,0.98888,1000000000.0,0.0,0.0
6,6864,13161,50000,7529,7529,0.26322,1.0,0.73678,1000000000.0,0.0,0.0
6,1229,17625,50000,7529,7529,0.3525,1.0,0.6475,1000000000.0,0.0,0.0
6,1295,8774,50000,7529,7529,0.17548,1.0,0.82452,1000000000.0,0.0,0.0
16,15926,7091,50000,7529,7529,0.14182,1.0,0.8581799999999999,1000000000.0,0.0,0.0
16,15997,6448,50000,7529,7529,0.12896,1.0,0.87104,1000000000.0,0.0,0.0
0,713,1650,50000,7529,7529,0.033,1.0,0.967,1000000000.0,0.0,0.0
25,9261,4541,50000,7529,7529,0.09082,1.0,0.90918,1000000000.0,0.0,0.0
18,14683,7052,50000,7529,7529,0.14104,1.0,0.85896,1000000000.0,0.0,0.0
18,14861,49363,50000,7529,7529,0.98726,1.0,0.012739999999999974,1000000000.0,9.20186089439608e-40,9.784203657335745e-39
13,5873,0,50000,7529,7529,0.0,1.0,1.0,1000000000.0,0.0,0.0
13,11349,39407,50000,7529,7529,0.78814,1.0,0.21186000000000005,1000000000.0,0.0,0.0
17,1531,2925,50000,7529,7529,0.0585,1.0,0.9415,1000000000.0,0.0,0.0
6,493,87,50000,7529,7529,0.00174,1.0,0.99826,1000000000.0,0.0,0.0
6,523,16721,50000,7529,7529,0.33442,1.0,0.6655800000000001,1000000000.0,0.0,0.0
6,555,11288,50000,7529,7529,0.22576,1.0,0.77424,1000000000.0,0.0,0.0
6,604,404,50000,7529,7529,0.00808,1.0,0.99192,1000000000.0,0.0,0.0
16,15139,2063,50000,7529,7529,0.04126,1.0,0.95874,1000000000.0,0.0,0.0
16,14618,1355,50000,7529,7529,0.0271,1.0,0.9729,1000000000.0,0.0,0.0
16,14688,249,50000,7529,7529,0.00498,1.0,0.99502,1000000000.0,0.0,0.0
0,981,47169,50000,7529,7529,0.94338,1.0,0.056620000000000004,1000000000.0,6.660995027336826e-178,1.9107591284343775e-176
0,1002,390,50000,7529,7529,0.0078,1.0,0.9922,1000000000.0,0.0,0.0
6,6958,9357,50000,7529,7529,0.18714,1.0,0.81286,1000000000.0,0.0,0.0
1,2798,49,50000,7529,7529,0.00098,1.0,0.99902,1000000000.0,0.0,0.0
13,11419,49737,50000,7529,7529,0.99474,1.0,0.005260000000000042,1000000000.0,8.701280463982228e-17,6.203213658174494e-16
18,15133,1092,50000,7529,7529,0.02184,1.0,0.97816,1000000000.0,0.0,0.0
1,6666,23908,50000,7529,7529,0.47816,1.0,0.5218400000000001,1000000000.0,0.0,0.0
1,6780,47652,50000,7529,7529,0.95304,1.0,0.04696,1000000000.0,5.500197147989677e-147,1.3592040734941609e-145
13,4653,2221,50000,7529,7529,0.04442,1.0,0.95558,1000000000.0,0.0,0.0
13,4727,6220,50000,7529,7529,0.1244,1.0,0.8756,1000000000.0,0.0,0.0
1,6757,4,50000,7529,7529,8e-05,1.0,0.99992,1000000000.0,0.0,0.0
13,11574,29861,50000,7529,7529,0.59722,1.0,0.40278,1000000000.0,0.0,0.0
0,1027,257,50000,7529,7529,0.00514,1.0,0.99486,1000000000.0,0.0,0.0
16,14279,0,50000,7529,7529,0.0,1.0,1.0,1000000000.0,0.0,0.0
6,7741,20148,50000,7529,7529,0.40296,1.0,0.59704,1000000000.0,0.0,0.0
6,112,26254,50000,7529,7529,0.52508,1.0,0.47492,1000000000.0,0.0,0.0
23,11677,0,50000,321,7529,0.0,0.04263514410944348,0.04263514410944348,1000000000.0,7.796469203444738e-287,3.2458670222441394e-285
6,271,20000,50000,7529,7529,0.4,1.0,0.6,1000000000.0,0.0,0.0
6,7486,7666,50000,7529,7529,0.15332,1.0,0.84668,1000000000.0,0.0,0.0
6,282,5676,50000,7529,7529,0.11352,1.0,0.88648,1000000000.0,0.0,0.0
0,1052,102,50000,7529,7529,0.00204,1.0,0.99796,1000000000.0,0.0,0.0
0,952,120,50000,7529,7529,0.0024,1.0,0.9976,1000000000.0,0.0,0.0
16,14942,2861,50000,7529,7529,0.05722,1.0,0.94278,1000000000.0,0.0,0.0
6,8345,0,50000,4085,7529,0.0,0.5425687342276531,0.5425687342276531,1000000000.0,0.0,0.0
6,8381,4168,50000,7529,7529,0.08336,1.0,0.91664,1000000000.0,0.0,0.0
6,8193,29227,50000,7529,7529,0.58454,1.0,0.41546000000000005,1000000000.0,0.0,0.0
6,8275,22,50000,7529,7529,0.00044,1.0,0.99956,1000000000.0,0.0,0.0
6,8074,122,50000,7529,7529,0.00244,1.0,0.99756,1000000000.0,0.0,0.0
6,8153,7009,50000,7529,7529,0.14018,1.0,0.85982,1000000000.0,0.0,0.0
6,8170,1402,50000,7529,7529,0.02804,1.0,0.97196,1000000000.0,0.0,0.0
23,11408,6111,50000,7529,7529,0.12222,1.0,0.87778,1000000000.0,0.0,0.0
17,1690,8241,50000,7529,7529,0.16482,1.0,0.83518,1000000000.0,0.0,0.0
0,1177,44,50000,7529,7529,0.00088,1.0,0.99912,1000000000.0,0.0,0.0
1,2703,22,50000,7529,7529,0.00044,1.0,0.99956,1000000000.0,0.0,0.0
13,4603,3120,50000,7529,7529,0.0624,1.0,0.9376,1000000000.0,0.0,0.0
18,16153,0,50000,109,7529,0.0,0.01447735423030947,0.01447735423030947,1000000000.0,2.754224767604683e-97,5.024219267742863e-96
1,7201,34462,50000,7529,7529,0.68924,1.0,0.31076000000000004,1000000000.0,0.0,0.0
1,7217,104,50000,7529,7529,0.00208,1.0,0.99792,1000000000.0,0.0,0.0
1,7433,318,50000,7529,7529,0.00636,1.0,0.99364,1000000000.0,0.0,0.0
18,10611,6257,50000,7529,7529,0.12514,1.0,0.87486,1000000000.0,0.0,0.0
1,2644,4968,50000,7529,7529,0.09936,1.0,0.90064,1000000000.0,0.0,0.0
19,92,5460,50000,7529,7529,0.1092,1.0,0.8908,1000000000.0,0.0,0.0
23,11043,479,50000,7529,7529,0.00958,1.0,0.99042,1000000000.0,0.0,0.0
5,15209,20061,50000,7529,7529,0.40122,1.0,0.59878,1000000000.0,0.0,0.0
5,15286,209,50000,7529,7529,0.00418,1.0,0.99582,1000000000.0,0.0,0.0
5,15304,134,50000,7529,7529,0.00268,1.0,0.99732,1000000000.0,0.0,0.0
6,8801,1659,50000,7529,7529,0.03318,1.0,0.96682,1000000000.0,0.0,0.0
6,8840,11464,50000,7529,7529,0.22928,1.0,0.77072,1000000000.0,0.0,0.0
6,8675,37,50000,7529,7529,0.00074,1.0,0.99926,1000000000.0,0.0,0.0
16,14421,1740,50000,7529,7529,0.0348,1.0,0.9652000000000001,1000000000.0,0.0,0.0
0,1251,393,50000,7529,7529,0.00786,1.0,0.99214,1000000000.0,0.0,0.0
16,13904,0,50000,59,7529,0.0,0.00783636605126843,0.00783636605126843,1000000000.0,6.429049587409156e-53,7.968901153556906e-52
25,8287,11914,50000,7529,7529,0.23828,1.0,0.76172,1000000000.0,0.0,0.0
13,3662,6529,50000,7529,7529,0.13058,1.0,0.86942,1000000000.0,0.0,0.0
13,3353,18108,50000,7529,7529,0.36216,1.0,0.63784,1000000000.0,0.0,0.0
